Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636824.3296225222,500327.219527359,636787.9864216321,500351.2471350713,43.5678113211578
637123.5905648108,500238.25247345015,636956.0192560641,500304.4814000519,180.18438954000354
636842.594707374,500343.06241889973,636775.5135975908,500444.6318051335,121.72187769517564
635971.6388700324,500581.9436976684,635918.1840551522,500609.5868394311,60.17940279185664
636284.1298982606,500493.53476025374,636021.3099140769,500574.16080591554,274.9089000475459
636033.7595202982,500594.3036236955,636295.95357629,500472.5161817573,289.0984330834277
635901.3229330844,500593.97398726887,635870.4358753562,500634.6542476505,51.07733273995468
636684.3011534091,500402.03714397625,636745.5316163818,500380.1505156101,65.02456533570525
635887.1404910395,500582.0222696487,636129.5426779799,500018.9242239851,613.05646498803
636744.264967161,500381.42912266526,636719.0803073338,500362.7005112566,31.385155343035464
636985.9696511134,500287.62330580526,636861.4675596373,500327.3795194791,130.69555198095833
637220.2300411151,500207.88880317484,637025.9208908019,500332.6118133295,230.8936446883255
636217.7985452812,500505.5620836577,636272.5007062523,500517.6883897188,56.03011434575446
636312.7816594164,500480.4555007968,636076.3131641372,500522.4304515418,240.16503856651389
636444.5830436307,500471.3929901941,636479.5367606187,500557.05871432676,92.5223141866397
636143.4781700763,500543.77050788316,636051.1506275088,500641.0727398887,134.1346318808483
636711.7065152398,500388.5406417682,636735.5374281832,500369.2814505155,30.640314284076357
637017.9514592637,500440.55958770437,635816.8229808531,500576.39331715263,1208.7846887285743
636472.5483176468,500454.1211598726,636433.6723602003,500431.09391628386,45.18400175593
636383.0004296268,500458.31774539227,636301.0636477647,500467.16914056416,82.41349051216383
636444.7189620038,500065.4417528149,636540.6920136493,500747.4975341607,688.7749382122647
636265.838257669,500493.80570853665,636252.0435377641,500490.89259607694,14.09895462285638
637244.1968641029,500225.8944137409,637025.9208908019,500332.6118133295,242.96708397521098
636634.6347039922,500396.3511231753,636711.7000793137,500415.57681168045,79.42732006021627
636523.1601521864,500443.58347655926,636689.6046008401,500416.11221790244,168.69624933540288
636049.3860471946,500546.82973173144,636066.9428541579,500526.0713414856,27.187354346180868
637102.4284395778,500296.71771871194,637084.524964266,500295.4611977447,17.9475144012188
636741.4563967464,500319.4469305039,636697.090160255,500338.0774532064,48.119219825213584
636366.3675741067,500466.8272848086,636310.3815544865,500500.4698349129,65.31657959840132
635992.7027357582,500614.1321110748,636819.1513029444,500374.0822236121,860.6051258707773
637157.4169457536,500253.63662847254,637025.9208908019,500332.6118133295,153.3893486883921
636687.5519466321,500397.5334661603,636785.4269126621,500294.58226882655,142.05089935592886
636284.2123994516,500491.1306529377,636303.5412278204,500507.9428063348,25.61741805801577
636401.6869155245,500474.8193179369,636841.8737318238,500417.27748155955,443.9318598358525
636564.3997023352,500411.8745485394,636553.4308712571,500404.50127724593,13.216670714976646
636288.4158718203,500490.3767122169,636314.6994530242,500487.3838721048,26.453425729729062
636548.3552192783,500440.438611662,636584.3157012418,500425.8999438336,38.78826014761075
635961.1685201164,500564.38273757615,636037.1317652876,500575.8037798522,76.81702170494334
636149.9424539583,500571.96104986913,636985.2301733028,500227.9140591181,903.368089945938
636685.1555353267,500397.9313579515,637113.6184006357,500298.9237801055,439.75325742933245
636383.7545222198,500458.30174418545,636289.0940114444,500525.0043325861,115.80089636787528
636897.6764670968,500419.08488716645,636841.5958978942,500455.11508651264,66.6573739882378
636422.9963799807,500074.4831917711,636784.4650748933,500421.2947813877,500.9370180913505
636010.4520734454,500613.54430858605,636848.0867135784,500368.7675629079,872.6668583002016
636110.7403039315,500595.06070981384,636269.1940767998,500148.71659695386,473.63558272257177
636249.8432467629,500513.787915182,636116.8132984318,500628.0229421461,175.3471087256802
636728.9393418027,500414.0174391069,636762.6679704103,500412.73756035126,33.752903243682304
636608.3563312732,500410.2650122888,636711.4567061404,500419.1558106871,103.48301113669807
635993.6629997995,500611.90287774807,636839.6207209548,500379.99083857075,877.1702570754254
636488.7289567997,500426.5720121975,636509.9735027283,500405.9503362385,29.607165535890932
637029.4075000916,500279.43343078473,636812.155224506,500371.2683742732,235.86480893221255
636386.6211920227,500475.0868745656,636384.7684960065,500470.0286217702,5.386873292576108
636752.5591184124,500373.5672191682,636738.3333569313,500274.3345167155,100.24720208455197
636820.6791734456,500350.91837238724,637039.2926419246,500226.1231638363,251.72543113022198
636863.0418755414,500300.76795227744,636747.5636429233,500389.2524025428,145.48099582895017
636024.7130692983,499819.2401394191,635819.8392137339,500523.61267489806,733.5625163753151
636262.5505962807,500495.1974175832,636150.7810086583,500518.6070281694,114.19479228525316
636803.1067101199,500355.49056732724,636815.5743613371,500313.2634818113,44.029184389994896
636227.729526198,500501.2886315221,636173.5114548737,500513.0250321418,55.47379883902037
636715.1402898815,500383.4165910436,636756.9379549522,500284.4725767686,107.41025447420547
637158.0455075299,500302.2785665308,636959.5740894106,500373.0974160072,210.72781793449815
635861.4755675944,500585.77562943945,636229.1032448341,499844.9781100208,827.0012538379133
636129.3669609108,500542.5860820909,636187.3864786538,500497.57994326396,73.4289927156236
636677.6924978078,500376.0953784395,636708.3090098356,500314.4299302813,68.84764560464646
636729.1035945078,500378.91495495726,636808.8694176173,500299.9454326657,112.24425146661206
636818.1126186801,500329.7946440106,636883.8102500082,500377.4460290861,81.15930791805833
636739.898906426,500401.584055509,636594.2936535627,500365.9780559627,149.8955531865375
637108.7848398373,500287.9565751846,637067.4013921726,500193.5119982109,103.1133738191187
