Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636679.7206636695,500325.54184743075,636610.7106420819,500503.18621945736,190.57782135455847
636802.1760502011,500518.4144765059,636737.8715750177,500504.5154919641,65.78941632132332
636966.4262268578,500490.4849451209,636853.5810596035,500600.6477870146,157.7018817476867
636363.6383784576,500860.3316331413,636708.0530508634,500725.870098311,369.731484887789
636362.9263337207,500864.0895541724,636749.7033810688,500724.85220771824,411.07605501039365
636362.1513812831,500870.2674729374,636726.4930866391,500736.42285484134,388.14850257990355
636361.6241698216,500875.6074155027,636718.9426610649,500707.5132412665,394.8824579498862
636361.54588544,500878.5893767874,636752.250759673,500674.4611457315,440.81587251758253
636364.6986888892,500882.18490849645,636797.9285349239,500656.39233025897,488.5390341440987
636368.3860146558,500886.6013890782,636785.8323888503,500687.9431750459,462.3057011660224
636373.0370865832,500891.9408215308,636766.5396958643,500701.07355299714,437.34953722228084
636377.7225745216,500897.26815088175,636778.0751540561,500685.536625388,452.89339455090834
636385.292722132,500905.9724191877,636779.4855603874,500688.028854158,450.43022908064324
636381.8938277413,500921.8783832202,636729.1695987193,500763.5180084148,381.6784895915941
636381.428230068,500923.597505592,636723.6102241289,500777.0026653791,372.261419215849
636375.0640227011,500945.7422436862,636753.173509201,500742.83912468626,429.11124371326576
636376.2356625425,500949.04264361353,636609.5593361532,500787.3259335101,283.8877084233653
636384.8323161592,500941.2810186717,636611.963815343,500661.562316608,360.3210654481735
636396.6750330362,500933.153186218,636622.8445470296,500633.5757989206,375.36550193107365
636408.2137627354,500926.3178690575,636561.4748700942,500669.8527084739,298.769720055444
636424.4426489972,500920.09251958504,636646.1848508895,500580.12830776756,405.88824744839724
636442.0818260126,500903.3721971609,636762.361953092,500706.5123993519,375.94300072674264
636445.5811125493,500884.5425742089,636773.5613525233,500711.992695173,370.60018695178934
636438.7977165212,500862.70722741087,636716.6853711236,500666.01330738753,340.45564579629735
636435.6085117827,500856.3690143107,636739.3223015104,500628.72567099816,379.5570547694373
636393.3038133824,500790.04414982634,636719.1693409366,500665.3808673534,348.8972284858271
636388.4073310648,500754.04778336413,636662.547585767,500642.7308308997,295.8789332719631
636406.9173322726,500692.92421979894,636575.8978784148,500644.07170072605,175.90052187041724
636427.0730399286,500681.7531380829,636583.4519830118,500640.56308592705,161.71269040007383
636437.8329084063,500680.47386897914,636634.3998420667,500658.22938039765,197.8215778951112
636449.8716367638,500682.4106584053,636736.879398547,500641.77783319243,289.86976697920613
636466.4093053302,500700.8903800903,636740.9727724015,500608.6503342928,289.64344200917407
636468.967129252,500724.9267181314,636684.4475595418,500648.9329860535,228.4882122845349
636467.1167762016,500745.6387032405,636670.887342866,500742.1316084977,203.80074472942175
636461.8217894214,500752.94830660865,636529.5723499716,500703.6628475759,83.78063575159854
636442.2327611515,500761.3578749709,636506.1277711692,500733.5956203737,69.66573824685273
636426.2830126911,500784.8591097403,636745.3361256861,500652.27111458033,345.5061003402634
636436.7144529538,500797.64218778076,636734.3186938253,500643.87876365066,334.97981250355144
636457.887137251,500813.9016597913,636745.8120955374,500659.61529637134,326.6574100515928
636473.0600312048,500825.17713822925,636781.5653213772,500606.56175968825,378.11135634755584
636477.4837698502,500833.71322083723,636768.41665716,500639.69715206116,349.6915496001424
636481.5901131134,500840.3233174663,636774.4415930017,500635.1208515586,357.58920745373
636517.3072737979,500870.0423364349,636742.2730732776,500613.5058000644,341.204638638548
636566.3706833803,500888.3161413083,636722.7834351291,500631.2015177996,300.95328297205646
636589.4579442238,500878.05465143925,636685.6777411967,500749.9314213885,160.23049462615796
636597.6707635389,500849.3560216827,636715.0706292853,500693.6531890897,195.00282191484405
636599.1414773802,500834.6506428348,636700.2725855487,500663.0589959321,199.1762895682169
636596.9881251787,500812.25500633125,636669.3099822227,500716.5201088235,119.98175530936186
636607.1711951096,500790.28259364946,636654.1030598324,500642.0748056122,155.46108310844082
636615.3104069743,500785.3395545715,636650.0735677606,500608.15697049466,180.56064202367227
636622.0312495887,500782.5684336461,636636.9807724352,500672.0125643444,111.56203866189205
636625.9328731232,500775.7815338634,636682.2976625739,500693.2954308382,99.9046879886124
636625.4224455743,500767.30426899256,636704.7511670692,500651.4477330827,140.41290171151525
636622.3223054272,500756.21819328034,636702.0595809402,500620.0658704501,157.7830412886718
636615.7717978875,500746.23177696316,636707.6833895047,500614.5265005426,160.6051696260698
636610.4530288014,500739.1083721224,636683.4110536058,500690.51989355264,87.65679456319879
636602.1003580396,500725.66856957495,636668.3755461203,500645.5925656804,103.94501890354374
636600.1287310582,500719.7531056633,636659.1202693069,500618.9256123553,116.8168865863343
636598.8653321171,500708.41220709786,636632.2845707263,500594.71170337277,118.51012638826536
636605.1517559116,500690.950879221,636608.3700519601,500679.04718376475,12.331074364033771
636611.5854762462,500682.8047061428,636588.5667090366,500601.9175287141,84.09874622270824
636618.8013302075,500673.4130455063,636594.5888061032,500618.09394858585,60.38583283844235
636621.7023795099,500656.676901185,636693.9429717856,500605.62227096583,88.46060388190298
636619.3225544391,500646.1141267149,636733.8063766062,500550.6240369424,149.08018910224354
636380.0987898803,500799.33827058383,636563.9908327891,500657.6730296357,232.13212603617544
636397.3686184698,500980.20184323855,636444.628141097,500831.25250268506,156.26697837442254
636364.2157151352,501108.83131101565,636459.4468803655,500479.8761445402,636.123868650803
636472.6634015894,500960.88589525525,636632.3860172294,500700.59943217447,305.3855871025991
636385.6331777391,500901.49521136406,636300.8590736606,500721.44224444975,199.01185798078748
636347.9538546833,500762.0364832336,636511.2573668011,500712.4971235145,170.65223476825446
636140.4830409946,500360.9606728428,635940.3138876054,500363.8825912006,200.19047823367444
636148.8475949183,500368.4255075361,636006.1521657521,500437.9558137169,158.7338936160896
636162.6211941369,500381.1726556865,636078.7267747393,500358.61633926653,86.87382238910818
636161.8464910821,500385.2469005498,636086.9038098358,500463.81303333526,108.57735810587022
636159.0312928616,500389.98704094987,636151.8154308699,500136.54102983454,253.5487117193752
636157.0602064204,500396.19521990046,635994.7076859947,500509.2134898382,197.81675921996157
636157.6942259007,500396.5786169021,636142.7604264005,500192.1839542103,204.93949474029984
636155.1477217701,500399.2431796549,636076.4192169793,500434.7965182141,86.38412672073139
636152.7667232767,500401.8005555085,636124.1756827739,500327.13380486844,79.95355682006573
636158.1004500004,500408.3173918042,636082.3487060973,500435.2361699868,80.39245812384615
636159.0795823424,500411.9583222433,636320.812123727,500289.59191255743,202.80767530383275
636161.0955378178,500417.2749218915,636546.0007643921,500166.9584071031,459.14092718905243
636180.8066720802,500431.81338804774,636188.6718112346,500441.092671157,12.164107404119429
636182.8189964418,500433.3708575697,636192.0618917898,500475.39085290814,43.02454093489058
636182.759872743,500435.52672638325,636198.0672542403,500443.2837115176,17.16061615082476
636184.5978825564,500437.1514548925,636095.0781349014,500495.37160565896,106.78656832903468
636189.3815121638,500444.17716807785,636199.7381232181,500439.8671405834,11.217652585651924
636201.1438287813,500454.0832294093,636241.3605710831,500420.6816389228,52.2786056470599
636275.6873376175,500520.27046290674,636264.2237074536,500446.1196161994,75.03174584101875
636213.713265896,500423.03940891084,636180.9251144849,500329.13224337134,99.46667086327179
636206.1214747336,500417.90387539973,636133.5992146796,500433.90510240145,74.26652993713
636901.4241131782,500160.5871092486,636631.8029774707,500472.49543098814,412.28916792775067
636887.316313532,500146.68441811216,636651.2741949193,500396.0356068567,343.3538948191408
636878.7640790817,500133.44846349163,636647.5833453168,500469.33723602287,407.75703449065867
636872.6312004603,500114.68848239875,636717.9076119169,500345.0063361351,277.46297519029554
636867.2823908636,500110.53019835043,636684.7363129363,500279.51962725766,248.75790972157102
636859.3090790501,500104.63527081785,636793.1459376251,500472.8262740552,374.0884603247393
636857.4532170482,500103.0688722251,636718.1351732397,500411.1665002118,338.1326155543675
636851.7687196913,500098.60906774824,636672.6024378025,500171.18679989985,193.3082609981864
636842.7943260506,500092.2088291521,636679.7839327181,500287.3531776945,254.2709285436157
636838.3233868353,500088.90895511355,636711.7019648505,500335.26130083925,276.9881996583826
636838.3153439307,500103.77349367,636790.553780595,500414.6821050882,314.55576864250855
636837.9353667715,500115.17927458626,636473.4020723128,499966.94468189846,393.5200341002656
636836.9828411373,500120.71187499556,636940.659546144,500295.8844349397,203.5541326488362
636833.9698315337,500126.910544342,636895.4817358984,500255.5751881033,142.61242909645324
636830.2276602566,500134.5207461459,636932.6091127992,500314.3175238873,206.9029799469459
636821.6468890395,500142.0060880317,636830.7038331297,500279.8725066525,138.1635900647468
636812.7372978658,500147.1074712926,636690.0919742007,500261.7759873917,167.90099464056493
636804.3464371553,500151.2240692373,636726.5964368744,500360.4656672364,223.2198666716449
636796.4997789663,500155.0374336911,636721.0919621229,500385.13756488846,242.1413001082788
636785.0824357503,500160.8747790419,636794.2536816502,500492.00293298566,331.25513744778374
636779.6618915946,500163.67873492226,636748.0782386288,500412.1612402119,250.48170106755128
636773.4932585487,500166.62581607886,636862.9206708532,500267.06876753044,134.4843803859557
636730.8314049873,500207.94377171906,636685.3239078248,500316.568486761,117.77207230890843
636721.0391276157,500231.7043253083,636665.6827586124,500365.5462431752,144.837793988723
636714.7347346543,500252.54088634136,636627.718757164,500447.85693096515,213.8226779976389
636712.8812838653,500271.13062737894,636572.506986924,500390.04177037446,183.96957131622074
636712.9072398047,500278.0653849202,636526.5610837735,500424.76482188323,237.16157925111926
