Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636493.0082148866,500483.5100153648,636547.6777247743,500447.6708971702,65.3697002006796
636432.2551418649,500536.8405249633,636265.4644457208,500519.1450835265,167.72675686329035
636455.7996869687,500347.5780406749,636435.8928876523,500385.98430288193,43.25877524546915
636308.2857542377,500361.6515102329,636305.6766599994,500352.0462367954,9.953323593326886
636349.8044695298,500239.6065555098,636226.7755720536,500379.1533175947,186.03604065499556
636518.0662689428,500529.54462828574,636530.3213226537,500415.1204965108,115.07853089913152
636513.9230538566,500492.3250258877,636519.1699204643,500476.5004073574,16.671777374591077
636221.1764861691,500306.3723642368,636222.7415576566,500304.5989221592,2.3652791724276936
636201.6943728079,500499.07685342344,636316.6832739462,500476.4327921441,117.19727341630484
636394.8079219158,500678.94051060866,636407.938771754,500595.3723932762,84.59343622272561
636654.0438680612,500558.3865959204,636438.2387929879,500418.2978704489,257.28715753339225
636248.0359968796,500347.7016409233,636376.1464293137,500367.4715803459,129.6269007699906
636464.9567566912,500393.1953404713,636554.7299317401,500380.807963686,90.62378309238889
636376.6380877246,500289.67920608167,636338.4215221156,500284.27011642104,38.59746284280847
636504.6265306346,500642.73575287854,636605.5085802905,500607.121583567,106.98390999829998
636380.6691408723,500446.33278395305,636369.0530520051,500487.0532887138,42.34492919512353
636348.6287284052,500510.8331887955,636363.8962821162,500502.2896013016,17.49545894175794
636206.3367908446,500389.65700222197,636287.0226947753,500388.4287200564,80.695252463762
636457.1563563773,500454.3065129827,636471.7375140616,500375.80406776175,79.84512549356417
636509.6637087739,500485.86303276464,636526.4507876313,500559.6193270151,75.64256049427406
636312.513259424,500367.8614711631,636309.1863940371,500244.67828787456,123.22810019798
636490.1584153061,500496.878496386,636494.5882439499,500445.5285574212,51.54065980858421
636322.0465669768,500365.01862582396,636250.5243345397,500334.31039370724,77.835886662442
636399.1355871495,500550.96340011695,636356.2103338536,500516.43321212864,55.09002861704366
636231.1873844285,500292.98942404124,636314.9202564377,500365.02882452344,110.45754422744045
636424.4501014577,500374.5639933974,636432.6818481312,500390.5099177748,17.945310182562977
636339.5531032837,500527.59969000705,636268.2731418884,500412.3368314255,135.52254227584567
636296.9476795187,500402.77014748455,636436.5153141012,500450.3493055046,147.45474187307371
636357.0351121556,500241.78955922875,636301.013637508,500404.68598562037,172.26041725494113
636520.741042415,500497.4348358161,636470.4250695147,500434.9018875129,80.26248658247863
636211.6640734931,500400.0328455816,636207.634575965,500401.2529079805,4.210154698612835
636294.6704313235,500404.0437885458,636226.3993032412,500358.8010509665,81.90147882243713
636276.1504630938,500592.69486430153,636247.5503425493,500565.3501201914,39.568951535321986
636493.5878218123,500239.473939494,636484.3631803938,500392.4792938031,153.28317734361306
636417.161025736,500312.8678082752,636454.5936856482,500394.52631428716,89.82936954137608
636338.6329741698,500382.48816201586,636373.4143065673,500361.812971281,40.462384942892086
636218.6527982929,500360.62225186924,636190.0821472385,500318.4545951615,50.93518797348354
636336.655029305,500496.18537273176,636283.8339678608,500487.2694791771,53.56825263133258
636142.5817041686,500281.6451483487,636367.7611048033,500369.44593036163,241.69141439507732
636263.8832865248,500451.7602795289,636323.192923976,500315.0742771791,148.99898097963626
636468.9538156601,500513.2257659136,636392.0197092148,500491.04691917286,80.06720912636202
636308.9411156556,500646.29437518463,636290.8386773011,500585.48780799255,63.443966522149964
636583.8221061423,500509.2121011818,636546.9966731742,500504.1178171242,37.176124641323355
636496.3604489432,500366.74934160826,636490.9430230962,500437.4324575674,70.89041814311148
636331.1462069966,500364.3616721048,636403.0863055685,500391.52795628447,76.8985356079946
636474.6935799585,500374.9670596384,636486.5091958032,500475.88184235326,101.6041443454721
636318.3579387676,500362.840804108,636319.2554965984,500371.7518652042,8.95614983793014
636298.6865920962,500663.3244210243,636445.0002357424,500774.8694130897,183.98360680206517
