Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636512.3179524292,500542.7469046138,636538.7544379813,500538.2404485968,26.817828289776653
636604.7779964523,500250.01716606563,636536.7835128953,500195.36923234345,87.23328753566551
636512.7672180468,500523.20572627964,636528.1046708468,500552.84827484144,33.37541226158842
636279.4963780834,500726.12277595734,636242.5423745954,500726.0835092714,36.95402434999178
636514.1824106664,500546.46618894767,636417.5717656098,500580.56039511133,102.45014217745006
636241.0667101925,500294.12980982754,636211.1715033657,500364.81669792277,76.74867777232558
636376.2356466849,500949.04267349304,636511.7768694027,500868.1760654898,157.8316550815898
636599.141528063,500834.6506385396,636562.1900325813,500697.0933109509,142.43395449002912
636475.6140081525,500551.1090517535,636468.6070711289,500549.514814344,7.186011367266497
636976.5126284757,500103.2804673522,636966.6002268918,500116.9624863495,16.89536471943743
636261.5437835732,500499.9582646735,636274.4317639498,500503.16155692766,13.280102388664806
636203.7719677635,500352.64955943945,636210.8153991937,500353.62930724747,7.1112468722555455
636279.0682443748,500398.2887690301,636265.141436151,500387.9045422343,17.37205092814503
636431.533441529,500374.9848370085,636416.9251108555,500310.36057816603,66.25479723015597
636171.5667873343,500345.51304626436,636214.2817951594,500353.08162217273,43.3803554017868
636611.5854926493,500682.80473382596,636564.2830301384,500766.49591312226,96.13395056694877
636586.378356529,500268.2226445151,636562.3149054097,500198.9095877012,73.37131268186873
636377.7225486618,500897.2681205619,636399.5186004746,500846.219947304,55.5066110260439
636201.143856503,500454.08321682934,636203.651042183,500362.80655391386,91.31109008779008
636330.8398853813,500677.63597567927,636322.7058675926,500689.1123764608,14.06662789318103
636851.7687136108,500098.60908607964,636803.891089037,500138.3460994752,62.219749022627106
636605.1517489104,500690.9509396934,636551.3049245727,500743.035302656,74.91502757445538
636280.1206539595,500397.28945724794,636430.7657334341,500270.7515174699,196.737871730901
636200.4618967529,500427.57473948225,636164.4425823189,500389.1696099413,52.6530624689035
636396.6750063569,500933.1531571849,636401.9918779396,500858.4539883392,74.8881495943054
636628.1483183517,500141.662389329,636642.5528468366,500209.8092457617,69.65259853397242
636267.596676026,500468.3215021484,636250.3000710921,500440.7317671658,32.56326179376239
636427.7010135973,500388.4055361062,636473.5671383715,500268.9307043986,127.97631348559484
636899.0650514876,500166.55968229956,636885.7282242887,500222.9926109543,57.98746757949867
636643.2620246436,500624.09752942075,636766.1273548489,500482.96086887585,187.12414680159145
636157.6942406433,500396.5785930829,636160.8134743328,500381.4880957174,15.409501275131277
636429.9029840869,500385.7558283898,636471.854260147,500281.7849265406,112.11537804599155
636521.8918818269,500583.57917649613,636582.8902780763,500568.6193969158,62.80604548997017
636240.9956484432,500294.16963849985,636188.8635926932,500357.50152826274,82.02852855964376
636424.4426145954,500920.09253181925,636465.3412956628,500740.45154424116,184.2378531439205
636502.9595587999,500196.00979131006,636487.382843723,500300.8370972867,105.97829084725983
636445.5811120663,500884.54253115284,636393.5142618925,500817.9713654807,84.5143596435861
636620.3969942147,500178.21784333454,636656.488337003,500148.80106674193,46.56105421231959
636431.5091033905,500374.923409624,636491.6058244851,500275.3429665871,116.30941716708459
