Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636363.6383784576,500860.3316331413,636727.0115011432,500718.63222276437,390.02403668421823
636362.9263337207,500864.0895541724,636737.201688318,500720.97028598515,400.7058347284746
636362.1513812831,500870.2674729374,636733.2007765924,500723.58560695394,398.9902549784718
636361.6241698216,500875.6074155027,636734.5812771595,500696.32979741215,413.8084922546571
636361.54588544,500878.5893767874,636783.1394393627,500683.47938075813,464.55251076680327
636364.6986888892,500882.18490849645,636813.818610132,500648.5157226164,506.27067077503074
636368.3860146558,500886.6013890782,636813.6599333319,500660.8290999015,499.2414137601528
636373.0370865832,500891.9408215308,636795.6258329207,500691.4358997074,467.7429552718966
636377.7225745216,500897.26815088175,636813.5438938477,500672.6770397963,490.2870481236472
636385.292722132,500905.9724191877,636834.7025957834,500674.0701488103,505.71523364589757
636381.8938277413,500921.8783832202,636719.1294198327,500755.51141734945,376.0396414027449
636381.428230068,500923.597505592,636733.2663751435,500790.65494822315,376.11674236864815
636375.0640227011,500945.7422436862,636770.086503544,500710.690194886,459.66534132611474
636376.2356625425,500949.04264361353,636666.8121024331,500788.267663711,332.0892373777387
636384.8323161592,500941.2810186717,636618.4579019486,500672.3762780254,356.2171723506855
636396.6750330362,500933.153186218,636623.1657845691,500666.43251974,349.9113808615269
636408.2137627354,500926.3178690575,636570.4085580632,500646.13991694665,323.73883993190714
636424.4426489972,500920.09251958504,636695.3143804757,500552.066240018,456.96262141023414
636442.0818260126,500903.3721971609,636772.006118322,500685.72247702384,395.24857916459297
636445.5811125493,500884.5425742089,636788.188209306,500711.35516304744,383.89256587340674
636438.7977165212,500862.70722741087,636755.2912993287,500663.1818219016,374.137107758585
636435.6085117827,500856.3690143107,636798.6536267757,500601.30135172734,443.690509269724
636393.3038133824,500790.04414982634,636743.3514405215,500687.37752585224,364.79278631022953
636388.4073310648,500754.04778336413,636678.6650630133,500646.4937338089,309.543897584204
636406.9173322726,500692.92421979894,636605.2652111218,500680.7869124111,198.71888504764078
636427.0730399286,500681.7531380829,636628.2043116856,500651.9333045194,203.32980832227295
636437.8329084063,500680.47386897914,636647.0098244394,500686.6557572213,209.26824399171522
636449.8716367638,500682.4106584053,636796.5151929029,500630.80038533686,350.46451360864825
636466.4093053302,500700.8903800903,636765.6533071469,500603.4796131426,314.6995871312052
636468.967129252,500724.9267181314,636704.6069760352,500647.4348512655,248.05468514490718
636467.1167762016,500745.6387032405,636665.0919957794,500720.97127360693,199.5060641975528
636461.8217894214,500752.94830660865,636558.93874467,500700.051105815,110.58850233442803
636442.2327611515,500761.3578749709,636532.2265072322,500710.2334314922,103.50160894710497
636426.2830126911,500784.8591097403,636749.2789450324,500640.8163263039,353.65901058668265
636436.7144529538,500797.64218778076,636778.8652169215,500662.776833068,367.7714088744932
636457.887137251,500813.9016597913,636809.9744857296,500644.0856091726,390.9002328042766
636473.0600312048,500825.17713822925,636799.098747988,500588.37265594397,402.96104981997155
636477.4837698502,500833.71322083723,636804.0600553104,500623.2743763104,388.50556947196355
636481.5901131134,500840.3233174663,636806.7832695075,500643.1928121999,380.2775631984187
636517.3072737979,500870.0423364349,636753.054707345,500600.16830555326,358.34179908058826
636566.3706833803,500888.3161413083,636756.0387815426,500634.07950519247,317.19119565962626
636589.4579442238,500878.05465143925,636688.0121504713,500711.0708267649,193.89824463350342
636597.6707635389,500849.3560216827,636725.0713296483,500701.13037538435,195.45267065337083
636599.1414773802,500834.6506428348,636717.9734381097,500648.5558248004,220.79926673356786
636596.9881251787,500812.25500633125,636687.9585127525,500693.0856790934,149.92311352709748
636607.1711951096,500790.28259364946,636653.5656961135,500639.20302170387,158.04267392911524
636615.3104069743,500785.3395545715,636651.6844281328,500633.02700698085,156.59559881680718
636622.0312495887,500782.5684336461,636644.3936883733,500670.1527881406,114.61830579283277
636625.9328731232,500775.7815338634,636719.3878510873,500665.6742605886,144.42106679523147
636625.4224455743,500767.30426899256,636726.623107938,500648.0296592566,156.4225258411293
636622.3223054272,500756.21819328034,636721.6077860947,500616.89728845534,171.078698827851
636615.7717978875,500746.23177696316,636723.0268500957,500605.37241349055,177.0452103336711
636610.4530288014,500739.1083721224,636703.5079062979,500669.13340031035,116.428977947913
636602.1003580396,500725.66856957495,636670.443886505,500629.79768047866,117.73727217499692
636600.1287310582,500719.7531056633,636691.7396829601,500621.1269460429,134.60938254757585
636598.8653321171,500708.41220709786,636657.3468103714,500607.2029387926,116.89054405596194
636605.1517559116,500690.950879221,636590.3771060542,500722.10842337884,34.483080436003476
636611.5854762462,500682.8047061428,636537.2112327304,500693.4358770461,75.13021957454035
636618.8013302075,500673.4130455063,636590.8518656803,500623.38230559323,57.30835457072924
636621.7023795099,500656.676901185,636710.2198991611,500540.3511474329,146.1746635747573
636619.3225544391,500646.1141267149,636728.3632555667,500539.8006441301,152.2906138989056
636380.0987898803,500799.33827058383,636597.9010645644,500663.37231789494,256.7578064015827
636397.3686184698,500980.20184323855,636444.628141097,500831.2525030436,156.26697803265387
636364.2157151352,501108.83131101565,636475.3244631623,500544.4675238788,575.1970428641031
