Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636150.4647229746,500397.6408068597,636143.4750495205,500335.1021794245,62.9280180561568
636167.3470420107,500417.1817740438,636141.2603079572,500498.49073539337,85.39124597593242
636181.2474708675,500419.87988384534,636320.3936030885,500478.63713999756,151.04324302197875
636187.6787259161,500417.30400290526,636120.0862963239,500527.65818482544,129.40935826068605
636195.3756545808,500410.89571726084,636015.3650618846,500550.43385442276,227.76019231954757
636195.5079668284,500410.97985093476,636121.148343641,500483.2750710214,103.71090785426684
636196.2877849434,500410.61990144785,636335.7681971198,500487.66001327435,159.34228632461333
636203.7423231325,500405.24044782924,636216.2676739164,500343.09466785565,63.39544447976883
636211.6938316633,500400.0594643485,636247.3031918365,500517.16976810136,122.40445162260421
636221.0896379268,500397.29169418116,636131.4073857135,500183.8707254601,231.4981992410874
636229.9472324065,500395.18036652275,636137.820017438,500463.4995650806,114.6949721192298
636244.1610193629,500390.7978545331,636255.1188791224,500118.23097657936,272.78705549929185
636260.681423655,500384.45203868404,636124.76308241,500283.1763827829,169.50089664955703
636260.6428998439,500384.5952725004,636093.3475804805,500325.177665135,177.5335910353812
636262.08678118,500383.8706466883,636318.4755833423,500470.14425036276,103.06712230520908
636268.281420101,500381.32274481765,636225.5088282849,500333.2014574277,64.38286193333364
636294.3586152395,500372.48751374404,636436.6277949669,500740.7311152678,394.77065438491275
636305.1128144515,500369.4360230937,636249.6765236959,500234.60028703185,145.78702977999214
636312.4994943189,500367.8292691401,636254.7589449671,500197.65999322577,179.69850724101676
636331.1167091453,500364.36998295295,636342.9365755654,500379.14997951593,18.925050610004124
636380.4739407224,500359.9247705348,636394.9186758593,500341.59892747947,23.334243010316218
636392.7220642568,500359.9212876483,636637.9394600218,500185.49969402316,300.9226869289055
636394.6691289685,500360.46736626764,636472.9898748477,500157.38636652497,217.66035856709576
636433.7482370744,500369.5096313434,636459.6297248069,500363.11689779925,26.659303243246054
636474.153745027,500379.01369817683,636506.405625347,500337.3300488329,52.7039885284081
636517.1527370417,500388.8708202112,636487.267934157,500445.6971179463,64.20537016272522
636519.2279468629,500388.80398218485,636621.0354082037,500335.0836779155,115.11138204125767
636563.8362417386,500394.78555005486,636531.064628115,500258.73218629137,139.9446192279507
636579.6406109838,500397.7247007729,636580.9795747885,500336.2204733779,61.518800472094654
636583.7952376205,500398.6398240137,636605.984864721,500548.52726787806,151.52103939404822
636629.4318197449,500409.80591730657,636284.7174319329,500398.8373270198,344.8888504104608
636656.5138716704,500459.30305263796,636433.8944732846,500335.572832713,254.69307776283966
636648.1451555273,500485.79543701926,636634.6264666949,500461.26893659844,28.005431091843192
636642.9030002006,500485.13044107513,636502.5080660438,500326.74710461556,211.6506999869314
636615.9673929657,500485.8070317583,636407.8445507636,500284.8669672448,289.29574309514834
636605.4638053566,500489.0358486166,636519.3141795702,500473.21067488834,87.59106202506122
636603.5680263469,500492.126890906,636258.1009773813,500137.0547724769,495.4025547034252
636593.844078324,500507.50068360864,636369.3439111861,500344.47444958636,277.44887461377954
636583.8265703339,500509.2133415391,636478.9564156975,500220.3222270245,307.3366645536567
636573.4865276895,500511.4566509581,636509.8395529,500249.5836942833,269.49653585424574
636573.5647399817,500511.34097379603,636188.1926130184,500234.46283863427,474.5241595227948
636567.3465221743,500517.0643201947,636441.9028284679,500238.1938167289,305.7856732974731
636533.8941895798,500547.7683713076,636363.3109262805,500544.99558359385,170.6057972917324
636526.6739920949,500553.7842715265,636430.8028591889,500369.9273220529,207.35151794581802
636518.4735362951,500559.2092407741,636150.8636471402,500645.94004924066,377.7026128341499
636478.6538131719,500582.1421404456,636481.6241386309,500777.5839795603,195.46440931758048
636462.8025055182,500584.69104265305,636289.6312485863,500843.0394532199,311.0179825504943
636448.0675623717,500592.3307197782,636351.3443212297,500519.53851149883,121.05408280268635
636444.6031966953,500595.7685402791,636397.0812278201,500647.6189332922,70.33349686591606
636450.821329573,500621.4220012758,636128.4368236677,500808.25918523356,372.61226892989214
636457.4207370931,500649.9638829267,636499.8709901505,500725.7828416545,86.89383457535203
636462.822294965,500654.2209361833,636366.4584523893,500592.92994680925,114.2040959615824
636474.586104274,500664.6471668982,636340.150298465,500488.3501312017,221.70618096680883
636397.3116677686,500647.2460128125,636339.3473317109,500592.86134338053,79.48305809316426
636383.4038894195,500594.39433267893,636399.1720621474,500678.01838724304,85.09769546184673
636376.6088331552,500587.03771797824,636401.6754119565,500349.8687657784,238.48992695789184
636349.1495242139,500551.5674643203,636208.7074000628,500463.30580930656,165.8737772579419
636316.6934008006,500500.5101175493,636333.4574694862,500456.8748317559,46.74475548301102
636305.8445434527,500479.3541098596,636295.9629139398,500350.71902544476,129.01407498504403
636308.717231427,500470.00214997673,636235.0320688791,500339.62913323124,149.7552225300503
636312.2419018758,500459.92091747036,636396.5581747256,500422.0294979807,92.43913423556755
636302.706158987,500443.5535630067,636361.1598904434,500384.49066690425,83.09792065501064
636296.42212402,500437.7258781516,636286.1545941883,500337.7108551377,100.54067334826094
636284.98944056,500431.2960464808,636271.2328855561,500358.1992030765,74.38004652630721
636278.5752144728,500428.51152364357,636403.9178592223,500272.98067830276,199.75140161012857
636276.3861397725,500419.3381035952,636213.281170734,500339.76759342564,101.5564040619491
636277.5958236812,500380.19149124227,636194.6594148648,500289.67064646946,122.76999326276318
636279.2010878492,500373.95761533745,636270.8356641772,500340.6202318835,34.37093901494676
636312.4000344553,500379.2140109267,636283.8022420912,500273.8794926581,109.14758113212201
636338.616723624,500382.44670933316,636315.0622602336,500349.8276075835,40.234544170025764
636363.9464552086,500377.872155456,636319.758703363,500305.99567437515,84.37289817073733
636413.2695207368,500353.29243391147,636421.4192430035,500491.7472152221,138.69442829760558
636421.5585823946,500345.1226988784,636443.4753599404,500377.36725954025,38.98790620523414
636439.3121442245,500328.8156612286,636390.175512061,500367.244977268,62.37965174341125
636469.2459690686,500312.58270677854,636366.2264886425,500310.26374427986,103.04557697608057
636476.8065997025,500306.7865479815,636465.3344801392,500460.65340305585,154.29393577761886
636480.3269163002,500308.5537084535,636286.8370098929,500313.26350119215,193.54721912016973
636485.0529754976,500320.6817738172,636408.3025474338,500322.29052478203,76.76728657209743
636479.8778569268,500344.9916832549,636320.1442979045,500316.5307149624,162.24930383234175
636478.9611334121,500349.72895362537,636405.3331323512,500458.1288114502,131.04049647598575
636477.0462894349,500361.9395979717,636299.8388395369,500337.31206151034,178.9105806024601
636474.7386333279,500375.00417764235,636391.1013777648,500334.49352134595,92.93171574701277
636472.9524435898,500374.125754888,636224.1315899303,500333.41995069024,252.12849841151512
636451.5819974302,500353.8031525307,636352.0219757368,500419.43635139184,119.2472838781999
636442.2917190476,500343.5374182297,636362.9345694089,500326.5397656405,81.15711547560878
636442.1965865965,500342.6264250371,636353.631171153,500438.8964622165,130.81189881354226
636440.3317242623,500318.0406899011,636412.6247286609,500400.8281585906,87.30087386315694
636438.9595082017,500304.1489751869,636285.9587297274,500324.62740111083,154.36516492412244
636437.6367990354,500300.06975957897,636249.6363499041,500365.25237879896,198.97975455288898
636429.6390982207,500287.68830819946,636366.8719117622,500355.5852832802,92.4646901310788
636429.5955957613,500287.72454301076,636297.5990374947,500374.5480262778,157.9917992835192
636422.9538393525,500284.1040012298,636348.5724822646,500353.6507799628,101.82995980734644
636413.8502276791,500279.4696808282,636404.0252559832,500362.0652575347,83.17787782997162
636413.691098512,500279.88376936043,636328.6495093973,500329.49361779075,98.4540956000955
636388.8062280758,500274.25975545164,636364.3200639167,500324.33984779136,55.74574319154271
636376.3295947455,500268.0711394178,636207.0052749388,500345.5401257979,186.20464314506748
636355.259998297,500246.4009847683,636229.3919972429,500287.4136575366,132.3812411822071
636352.1128619135,500242.2149515772,636258.650974662,500350.1959697303,142.81115029994743
636349.7794352443,500239.57388513174,636183.1230024686,500324.9304959483,187.24347143651806
636343.7509306881,500225.95835389505,636354.2836994897,500312.62627245835,87.305597339009
636342.0269157805,500228.6268744184,636359.006280232,500451.05803610815,223.07828336220143
636322.9549353515,500244.24288023444,636383.4095376687,500450.4253028658,214.86263133329325
636314.2283792668,500247.8822747416,636154.2374570145,500372.74215035274,202.9460118868361
636277.2642234387,500259.2531859498,636235.3483531068,500240.0777702881,46.09378213471101
636270.0462570149,500259.98971394065,636308.0503020611,500378.8346804205,124.77352883316621
636260.4719208961,500268.1963315538,636167.5777071678,500339.9609096319,117.3860707704338
636231.1607224172,500292.9989121321,636241.0582464254,500332.6701346313,40.887245885124884
636229.3703156827,500294.29168678296,636196.7343522173,500254.0537686675,51.809228575450355
636237.340905736,500313.0142575072,636096.2837197228,500430.8920935042,183.82685860693175
636244.9609732423,500328.38385235646,636367.7502190212,500492.54820140544,205.00520085508415
636267.09729419,500319.1961422174,636271.7863514358,500545.65081195853,226.5032112475038
636320.8577742476,500292.87622086046,636412.3034296413,500339.5941793468,102.68824438807869
636386.7772276434,500285.9769093799,636217.3526906553,500384.2164466991,195.84606308614187
636408.5997938532,500285.84759170096,636397.2328832704,500360.2431046292,75.25887987511636
636417.1792605299,500312.8349596156,636403.526135,500440.1166534369,128.0118643671576
636439.9313638331,500374.06337122817,636446.3563336327,500370.5798003499,7.308591039971173
636455.8461918609,500436.5063060434,636470.8534069102,500301.7872589661,135.55234468260167
636457.147122667,500454.3204853677,636508.9275952477,500307.7197362932,155.47667661060595
636458.3011801442,500457.889280853,636379.1952755419,500285.4684743609,189.70155153381822
636463.1298197322,500477.85991763766,636498.1250269548,500358.0685429316,124.7983893426856
636468.6614431151,500480.85261053714,636496.9749504465,500339.2178853082,144.43701079738557
636501.5098803069,500491.1349848674,636584.2686627201,500211.4424760599,291.6794739942499
636532.1839490877,500487.7942607004,636531.4152699417,500406.2576385661,81.54024538046137
636531.7995333503,500487.895505646,636418.862999118,500276.86995619116,239.34586540633458
636489.2522815347,500502.1017629142,636425.7943706344,500396.2986205828,123.37427358667932
636463.8919763373,500514.1626464095,636458.9095451141,500487.593676237,27.03210677916467
636463.8295192488,500514.1368334532,636390.2516075633,500449.58889800776,97.87821544277152
636449.0137224412,500523.2568349524,636403.483160157,500561.23906454304,59.293185667405446
636429.4069483283,500534.7759239032,636276.262091004,500518.64686530974,153.9918629537275
636418.9461744389,500546.3546916768,636314.6961196838,500605.06091210054,119.6431955143678
636366.5959969149,500592.5257846282,636312.8713794411,500611.9453502216,57.12664921506517
636336.4854112493,500620.1367320192,636312.1191247276,500598.07794505666,32.8680087793536
636325.4695027983,500630.27431505936,636330.0277348862,500661.2082709592,31.26798854068843
636308.9303421814,500646.2640362212,636310.4756267186,500633.91599482525,12.444357380640518
636293.3479937589,500661.0435662726,636315.9167524897,500606.7474323007,58.79982172546642
636293.709233905,500659.312728577,636383.4299143059,500581.1483144545,118.99359699886932
636296.0397369396,500640.52816319664,636317.6211480494,500569.2511958169,74.47256799882823
636294.5402663718,500615.4800452887,636353.7177838061,500590.26904799265,64.32396873913505
636293.4842059537,500607.1910769313,636253.074784655,500574.78011049307,51.8014678860824
636283.7830050429,500578.6700036568,636253.9077283717,500527.75594912854,59.03196680353321
636270.823058869,500539.0842801016,636305.3688516221,500583.8633047438,56.555926699568786
636266.510739658,500525.69160111534,636157.3021322746,500535.0142762276,109.60580366876364
636256.1507773591,500494.8028248194,636272.1197829092,500548.57327644713,56.091626884115016
636249.5335498573,500473.6209096061,636289.1524941819,500392.22496426414,90.52602204617435
636225.2074995402,500445.2311498916,636200.1957261984,500242.9058424642,203.8654429551749
636191.36122656,500413.4025296516,636170.8925419475,500307.07441077085,108.28035793476458
636162.2615801096,500398.66590323596,636121.5502766557,500312.62570390024,95.18574541729353
636142.5378476409,500281.64758122433,636250.7817041685,500317.9451483487,114.16762174591068
