Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636492.9838841659,500483.51564080355,636405.8105391723,500431.5302404129,101.49716218274556
636432.2958217228,500536.8320859167,636346.2965365971,500555.523135111,88.00700177897916
636455.7808616173,500347.64181956206,636410.8812339318,500387.83986796293,60.264912358180645
636308.2783599069,500361.6682304428,636234.2875327279,500297.4976661728,97.94132848472228
636349.8230024686,500239.5304959483,636233.0429930082,500356.9602353282,165.61193888245015
636518.0055488349,500529.5561855469,636508.6178878547,500401.5016216431,128.39820682268189
636514.0108077673,500492.2984899579,636527.3623168615,500383.8246837674,109.2924033249482
636221.1722759554,500306.3459423497,636231.8709991763,500334.210239835,29.847642334147505
636201.7183244729,500499.1529886928,636344.6802049661,500523.57037245895,145.03209266965203
636394.8079219158,500678.94051060866,636409.0270381267,500623.09529938886,57.626997856943206
636654.0648860462,500558.36770920036,636486.6845286854,500479.86653579946,184.8746014344674
636248.0938285302,500347.62729948486,636330.9999709557,500230.24557341065,143.70768270359076
636464.9777585473,500393.20998448983,636423.3424619164,500335.31734685553,71.30957451703081
636376.6713729196,500289.6585539111,636452.0395369821,500328.86639082513,84.95654553729645
636504.6132944217,500642.8200902825,636559.8373437992,500624.22133196646,58.27185804953221
636380.6611272239,500446.32529449475,636369.2655469321,500370.9616256715,76.22035048914766
636348.5984090584,500510.8477606721,636414.7220517892,500412.7474493928,118.30472180382345
636206.3159806735,500389.6964055395,636383.423005057,500387.02307637694,177.12719942117477
636457.1275952477,500454.31973629317,636560.0407658715,500415.1819326433,110.1039888577393
636509.6164556631,500485.8419869408,636490.0125311025,500494.45056238025,21.410778343483766
636312.458944967,500367.8599932258,636247.7637710359,500259.9979677741,125.77631758208369
636490.1460237249,500496.8462475406,636430.5791215643,500416.84925352206,99.73833207458641
636322.0595374445,500365.00238003803,636297.236685882,500401.99545407365,44.54953968673548
636399.1355871495,500550.96340011695,636270.2388296422,500569.7465818796,130.25813607232953
636231.1582464253,500292.97013463126,636334.7129476583,500374.78761586297,131.97604472987462
636424.5300867938,500374.5364338441,636356.1862326526,500380.16659093334,68.57536779136711
636339.5644840326,500527.5251576103,636281.9023395623,500470.84319655073,80.85646303461426
636297.0016528214,500402.82358376385,636324.2157366837,500388.0579480827,30.961756370252655
636357.071677369,500241.7874439503,636297.1864555061,500369.44605753676,141.0069552198509
636520.741042415,500497.4348358161,636443.1812836565,500307.21361312934,205.42548463889398
636211.7031918365,500400.0697681014,636228.651698764,500466.17970920244,68.24790252787861
636294.667327019,500403.96299400897,636309.481542107,500337.6083273706,67.98825452502233
636276.1437348308,500592.6872645262,636321.316236967,500602.95158947736,46.32398208216402
636493.5932338814,500239.4980455415,636463.0417263131,500351.36541919876,115.96423545070373
636417.226135,500312.8166534369,636386.7267422999,500294.02882384707,35.82171821361075
636338.6622602335,500382.42760758346,636409.7205625407,500413.9921965117,77.7534925323858
636218.6615810846,500360.6248221645,636264.7860500787,500372.4517325649,47.61661946848562
636336.6745566606,500496.1450391702,636378.8039168596,500541.035957139,61.56360537568469
636142.5817041686,500281.6451483487,636265.1214344313,500406.37211978424,174.85080181783124
636263.8503533705,500451.75045037246,636364.242510353,500410.7452822206,108.44357518429024
636468.9058524356,500513.2254767377,636444.707447742,500494.6589812238,30.500451560328386
636308.9756267186,500646.21599482524,636274.9290034886,500551.9715902232,100.20569021845567
636583.8564156975,500509.2222270245,636477.9119971241,500424.28110458795,135.7910678492396
636496.3929049056,500366.70101206907,636418.106672911,500358.8184315027,78.68207671574613
636331.1365755653,500364.34997951594,636347.3332063294,500305.9351815423,60.61863962849052
636474.7013777648,500374.99352134595,636423.8569968139,500327.0331083668,69.89529517363104
636318.3550790728,500362.82078785397,636334.3834947527,500367.8466179321,16.79788906924758
636298.6805820229,500663.3295191362,636555.7970927956,500537.32383676316,286.332555086294
