Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636512.3122483728,500542.7184769295,636481.6888505457,500671.29625402915,132.17426851834523
636604.8107589142,500250.0221295826,636831.4491652863,500452.39619116706,303.8424395061642
636512.8075385765,500523.2096016077,636467.2076541618,500539.1899122862,48.31893819212561
636279.5430029985,500726.1146382446,636595.8807517167,500698.1011906738,317.5756988639244
636514.2164613275,500546.4949051513,636335.4909993677,500230.5808304443,362.9662427151459
636241.0470248453,500294.09645999706,636182.5829358331,500294.5540542964,58.465879763843425
636376.2821211943,500948.99619915435,636556.55191089,500830.98712055635,215.46076141259454
636599.1060552254,500834.7004365476,636541.1271306648,500737.2636949094,113.38198408154118
636475.6205302904,500551.1151937096,636612.4176097582,500434.09329963615,180.02101167213647
636976.509491994,500103.290701678,636796.1740130207,500499.63426857255,435.44127961784295
636261.5902224423,500499.98404645117,636195.9564364315,500505.70504712255,65.88265109110301
636203.7844513187,500352.6800349809,636203.5642460117,500338.7638431169,13.917933983639607
636279.0529577247,500398.3069035627,636388.4017110816,500493.191697035,144.77663448568603
636431.5683955951,500375.0325054066,636434.9130626483,500300.1181445019,74.98898764124591
636171.6057699579,500345.5608070954,636198.1855646509,500329.9705803498,30.81461756866064
636611.6215061186,500682.83157641866,636448.2654695509,500800.1408426998,201.11354663107787
636586.3684161552,500268.2110828315,636598.0363200554,500380.9769634162,113.367913474094
636377.7055703709,500897.3102981304,636548.5425836155,500653.8458909248,297.42259946128974
636201.1605710832,500454.0816389228,636222.186605629,500277.97773572453,177.35466966050657
636330.8001542742,500677.6453121437,636281.9214219744,500584.99996817246,104.74870037755855
636851.7735952327,500098.5823643112,636712.5718114803,500160.94062236784,152.53094423005487
636605.1479612081,500690.9914105901,636481.6927579611,500712.54920096486,125.32328408801317
636280.1517820756,500397.3007965853,636286.1102667253,500433.6943634798,36.878113436374235
636200.4308102974,500427.61073589226,636374.2532468208,500430.56226329703,173.84749337551403
636396.6295433614,500933.15586145147,636743.9772240254,500689.6458547376,424.2022331771361
636628.1616207542,500141.64501030836,636697.4359875144,500276.89133599197,151.95560700728768
636267.5706474154,500468.32443640154,636181.3221534578,500365.2655939333,134.38723049770726
636427.6562357438,500388.3822426954,636632.9339441789,500632.10294200573,318.651403343311
636899.0983199914,500166.60754902696,636570.3240066369,500684.7125561986,613.6166128602197
636643.2253725479,500624.06082987034,636550.7140840957,500403.76451639377,238.93263532312668
636157.663694405,500396.6202033934,636142.9089328998,500317.050513452,80.92613017096474
636429.8634382258,500385.7585765135,636584.4314123164,500178.00992691633,258.9416150870924
636521.934749346,500583.5812649063,636601.3956916144,500591.8400898269,79.88898256485132
636240.9786570532,500294.1727271214,636191.8313334448,500390.74307013897,108.35723588391012
636424.4770804582,500920.07384998305,636451.4323020158,500743.205554695,178.91053028630486
636502.9340519862,500195.9734096617,636266.0407017665,500573.24230385723,445.47758406664315
636445.6306942168,500884.49434644607,636583.117132205,500949.7493421736,152.18651417946626
636620.4257606551,500178.2361131879,636818.2863565489,500266.53010580264,216.66712842354193
636431.5178892325,500374.94629643025,636686.3239210318,500385.04329350055,255.00600618640345
