Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636492.9935486655,500483.54422350484,636360.0549580123,500442.7738365218,139.04996706083116
636432.2487338149,500536.7962410725,636338.3428662701,500555.85317460995,95.8200327447063
636455.7913459598,500347.60827631265,636401.6095002834,500364.51036213466,56.756963502592605
636308.2522542925,500361.65311230416,636283.9766186241,500328.53376400046,41.063337896088484
636349.7794427988,500239.57389451703,636266.8948161919,500371.40057477343,155.71812661086253
636518.0510444883,500529.5225382616,636359.5195038923,500340.1127266973,246.99863578688766
636513.9716223924,500492.3036518282,636503.8172262493,500402.78046035464,90.09724508909514
636221.1683054954,500306.39382621914,636222.1108517097,500292.4692174105,13.956472471226553
636201.7355441678,500499.11170065484,636398.6809737661,500572.548920949,210.1916448486993
636394.7842013421,500678.9063795361,636348.340702041,500652.1403474546,53.60428248488096
636654.0416389899,500558.4113954537,636424.3372060165,500476.0663677049,244.01809384261256
636248.0820386761,500347.67674777843,636346.0831260073,500297.6479983367,110.03221750379862
636465.0018927825,500393.17504031677,636417.3257299807,500305.42389464256,99.86631096941319
636376.6785534266,500289.6536685979,636411.9980381733,500290.3730624076,35.326810360169084
636504.6112412297,500642.7756787861,636458.9674612742,500602.59642600274,60.80893851113651
636380.6630204201,500446.37082602124,636312.5494085287,500293.54018076847,167.32205548962187
636348.6117598978,500510.84592975,636481.8203122757,500424.46617057815,158.76391662213203
636206.3566271982,500389.6821996478,636371.441635113,500305.40856826236,185.35130100737373
636457.1470828187,500454.3204826755,636520.491127073,500375.9198327081,100.79250893694034
636509.6357708423,500485.864872464,636562.3055620843,500433.1126449662,74.5446471280776
636312.499508434,500367.8292794544,636219.9597144776,500261.3320445884,141.08605352616613
636490.1319426353,500496.83214804635,636467.7956343815,500442.47747886844,58.76513190531272
636322.0233795778,500365.0371419324,636298.085899869,500395.66429828666,38.87191326854893
636399.1708631102,500550.9505481226,636322.2301003162,500551.1136959776,76.94093576597784
636231.1607144887,500292.99887977476,636369.372378259,500347.63679469767,148.61953353871377
636424.4842125297,500374.5204937818,636403.9917887782,500376.3213279649,20.57139846890439
636339.574009521,500527.5620104096,636317.563977482,500564.86671076994,43.31376431728816
636296.9594882595,500402.7896974697,636312.547072314,500402.34605522105,15.593896084661303
636357.0406168664,500241.83193921077,636289.392228747,500380.3514540291,154.15563694091605
636520.7402026162,500497.4701164121,636435.5321996704,500358.3232963113,163.16323516700487
636211.6938062881,500400.0594397576,636206.8500724083,500414.92117095884,15.631148780415957
636294.6460799872,500404.0053765933,636319.1713405141,500356.1232070071,53.79768181060217
636276.128272933,500592.6624042304,636314.6705425323,500586.54359705537,39.02494519044521
636493.5904714433,500239.5063242138,636444.7822362544,500314.5307436754,89.50367220287495
636417.1792939282,500312.8349473909,636399.978622614,500321.55059600563,19.282780516122198
636338.6167559943,500382.44669486175,636405.9346887029,500392.4389657603,68.0554886976557
636218.6529928481,500360.60089641786,636315.6369870962,500332.4276141092,100.99321252617979
636336.699831313,500496.1516912024,636409.8265160879,500497.42492451624,73.1377682817551
636142.5378684145,500281.64761232206,636294.3337638625,500468.3295852648,240.60788203347312
636263.8565396997,500451.78373866016,636376.999732157,500408.2780512856,121.21933357907739
636468.9084496029,500513.19987339055,636406.7776659384,500464.56798256934,78.90053918456287
636308.9303895335,500646.2640334293,636342.3516389802,500567.8189708055,85.26785891901955
636583.8265910798,500509.21329914685,636492.5938844472,500425.0676609023,124.11242965591201
636496.3718965305,500366.73862926976,636478.7472383745,500442.33965783456,77.62824289631284
636331.1166744712,500364.36998098117,636329.9285808568,500318.23820092855,46.147076800806516
636474.7386499739,500375.0041688093,636402.5165208261,500305.8022461764,100.02470712137843
636318.3636074092,500362.8257428917,636377.874256517,500401.4116453094,70.92523685282153
636298.656365838,500663.3175686626,636462.4115444071,500585.5860626993,181.26760749653755
