Actual_UTMx,Actual_UTMy,Predicted_UTMx,Predicted_UTMy,Error
636363.6383784576,500860.3316331413,636784.4526196886,500748.55174682825,435.4071297153353
636362.9263337207,500864.0895541724,636868.3781674623,500686.51525362197,535.7370515922435
636362.1513812831,500870.2674729374,636680.9663133319,500873.8845763789,318.8354502475828
636361.6241698216,500875.6074155027,636738.0925487634,500983.60248076404,391.65210897406655
636361.54588544,500878.5893767874,636709.7867551604,500797.5995618305,357.53468848549596
636364.6986888892,500882.18490849645,637119.3495828094,500534.728051335,830.7973515142404
636368.3860146558,500886.6013890782,636867.7156471363,500566.2880590277,593.2374830379179
636373.0370865832,500891.9408215308,636705.3441719627,500830.12515499676,338.0076561595373
636377.7225745216,500897.26815088175,636650.2055703709,500650.8102981304,367.4077519729857
636385.292722132,500905.9724191877,636707.6836796071,500743.9600030867,360.81013349484647
636381.8938277413,500921.8783832202,636774.9600609685,500842.2097201696,401.0587981527573
636381.428230068,500923.597505592,636567.9609054176,500989.5566901495,197.85108794387648
636375.0640227011,500945.7422436862,636657.5519131529,500483.80010562146,541.4701720055841
636376.2356625425,500949.04264361353,636562.2821211943,500860.3961991544,206.08609097199525
636384.8323161592,500941.2810186717,636761.7229813747,500735.16096176027,429.5719397118436
636396.6750330362,500933.153186218,636561.2295433613,500796.3558614515,213.9899411926675
636408.2137627354,500926.3178690575,636434.2701941541,500781.3420100493,147.29880282415832
636424.4426489972,500920.09251958504,636659.8770804582,500700.9738499831,321.6245682243805
636442.0818260126,500903.3721971609,636845.4792484445,500579.5847034147,517.2695830330678
636445.5811125493,500884.5425742089,636934.3306942168,500831.8943464461,491.57704326656943
636438.7977165212,500862.70722741087,636477.3310674754,500601.9696189448,263.5695726072357
636435.6085117827,500856.3690143107,636618.0080120265,500490.1025025963,409.1707898820002
636393.3038133824,500790.04414982634,636626.3840782316,500738.4440508104,238.72364792924148
636388.4073310648,500754.04778336413,636765.087874316,500602.13898130937,406.15823985947543
636406.9173322726,500692.92421979894,636654.481590773,500731.3755002755,250.5325588763221
636427.0730399286,500681.7531380829,636596.2946986171,500617.3217722311,181.07283251449363
636437.8329084063,500680.47386897914,636651.2852948904,500714.2152254324,216.1027543347802
636449.8716367638,500682.4106584053,636863.4047938939,500695.17120991834,413.7299889069233
636466.4093053302,500700.8903800903,636693.4300778534,500703.45190169767,227.03522314818028
636468.967129252,500724.9267181314,636730.6036428848,500807.1460329451,274.2511276081018
636467.1167762016,500745.6387032405,636721.9732030176,500767.5332319407,255.7951693766075
636461.8217894214,500752.94830660865,636467.6032382525,500495.94680360233,257.0665238767878
636442.2327611515,500761.3578749709,636740.6691621579,500692.9171969719,306.1836243998439
636426.2830126911,500784.8591097403,636772.6706033859,500478.11675965454,462.6826475279749
636436.7144529538,500797.64218778076,636762.8522463054,500649.7735210507,358.0935671759814
636457.887137251,500813.9016597913,636697.0369683653,500353.86950665165,518.4806878219439
636473.0600312048,500825.17713822925,636844.5572317179,500551.7704316515,461.26066078813466
636477.4837698502,500833.71322083723,636897.0180025072,500426.30137980817,584.8020011779541
636481.5901131134,500840.3233174663,636791.2028036895,500471.05492813716,481.89123412189275
636517.3072737979,500870.0423364349,636776.3904176236,500470.3536946332,476.31406214794225
636566.3706833803,500888.3161413083,636903.0754437213,500617.03162326984,432.3949414177099
636589.4579442238,500878.05465143925,636397.2800633034,500856.02506927686,193.43639886352025
636597.6707635389,500849.3560216827,636765.1490732209,500794.24338939064,176.31331898666275
636599.1414773802,500834.6506428348,636739.8060552253,500709.4004365476,188.34579272002475
636596.9881251787,500812.25500633125,636461.7229314724,500820.4098032857,135.51078680972913
636607.1711951096,500790.28259364946,636707.685419341,500670.82985177316,156.11555596608125
636615.3104069743,500785.3395545715,636638.7592561988,500776.807451081,24.95286195860338
636622.0312495887,500782.5684336461,636438.3911710884,500817.0522804308,186.84970998278868
636625.9328731232,500775.7815338634,636647.777337196,500720.4077958301,59.526729075340846
636625.4224455743,500767.30426899256,636734.5349491412,500444.5572478678,340.69220431283685
636622.3223054272,500756.21819328034,636946.5733287695,500555.5636237302,381.3148075015169
636615.7717978875,500746.23177696316,636690.3162865791,500451.13443130045,304.3670879242214
636610.4530288014,500739.1083721224,636989.8517532367,500567.13770302606,416.5540818820792
636602.1003580396,500725.66856957495,636651.8564296394,500534.47564927756,197.56112834483562
636600.1287310582,500719.7531056633,636523.2806471095,500806.3038223153,115.74391802408316
636598.8653321171,500708.41220709786,636689.8872901673,500452.07977241615,272.0134443683726
636605.1517559116,500690.950879221,636649.9479612082,500678.5914105901,46.46995237578423
636611.5854762462,500682.8047061428,636442.2215061185,500780.03157641867,195.28752822707355
636618.8013302075,500673.4130455063,636524.1415385634,500705.15296480135,99.83936413538612
636621.7023795099,500656.676901185,636797.0036446998,500479.3053548877,249.38163327134464
636619.3225544391,500646.1141267149,636695.178467474,500620.511737401,80.05998926388148
636380.0987898803,500799.33827058383,636613.72829715,500630.10776635807,288.4817329183847
636397.3686184698,500980.20184323855,636456.9574928761,500817.78518609446,173.00290307064083
636364.2157151352,501108.83131101565,636454.5714270226,500402.24987742817,712.3352279378033
636472.6634015894,500960.88589525525,636994.9726939457,500964.67512138654,522.3230371297852
636385.6331777391,500901.49521136406,636357.5051419274,500767.1953542683,137.21384046285365
636347.9538546833,500762.0364832336,636247.896278069,500815.6599075198,113.52088032651609
636148.8475949183,500368.4255075361,635973.3041102514,500398.60726124863,178.11921082855025
636162.6211941369,500381.1726556865,636082.6396741089,500412.08180518413,85.74624813163234
636161.8464910821,500385.2469005498,636096.7621061786,500462.7454637088,101.2027887460915
636159.0312928616,500389.98704094987,636170.4121355016,500134.03288263746,256.2070544239781
636157.0602064204,500396.19521990046,636038.9464075244,500489.00154503767,150.2127939794414
636157.6942259007,500396.5786169021,636185.363694405,500133.9202033934,264.1117976808921
636155.1477217701,500399.2431796549,636050.6827920319,500379.6030849411,106.29513095891423
636152.7667232767,500401.8005555085,636124.1756827739,500327.13380486844,79.95355682006573
636158.1004500004,500408.3173918042,636035.4922110823,500421.5012897593,123.31502510195061
636159.0795823424,500411.9583222433,636325.806475637,500389.129704919,168.28250864724163
636161.0955378178,500417.2749218915,636306.2543665352,500592.81371693814,227.78269056501034
636182.8189964418,500433.3708575697,636206.5821900703,500504.0116444732,74.53059872141468
636184.5978825564,500437.1514548925,636264.5799576723,500461.75038995326,83.67938782023907
636189.3815121638,500444.17716807785,636260.2651492731,500386.18213636114,91.58555406648955
636201.1438287813,500454.0832294093,636241.3605710831,500420.6816389228,52.2786056470599
636275.6873376175,500520.27046290674,636329.7917556285,500461.82174502156,79.6463475040415
636213.713265896,500423.03940891084,636180.9251144849,500329.13224337134,99.46667086327179
636901.4241131782,500160.5871092486,636433.8971385818,500569.0189497815,620.8043494823868
636887.316313532,500146.68441811216,636591.279806328,500229.83282905666,307.4919053245228
636878.7640790817,500133.44846349163,636644.1079096688,500546.60190600075,475.14133150113395
636872.6312004603,500114.68848239875,636242.674666981,500710.9675716162,867.406471218183
636867.2823908636,500110.53019835043,636582.8862751513,500264.2497052447,323.28135954938904
636859.3090790501,500104.63527081785,636656.4658997792,500575.00750547345,512.2454436221121
636857.4532170482,500103.0688722251,636773.9661511008,500373.9177085857,283.4240327466436
636851.7687196913,500098.60906774824,636725.1735952328,500546.3823643112,465.32488720412357
636842.7943260506,500092.2088291521,636599.1260022603,500235.84984557494,282.8550752907936
636838.3233868353,500088.90895511355,636675.4579710532,500267.53390948084,241.7271560677199
636838.3153439307,500103.77349367,636985.0667619369,500256.1806546947,211.5748600812934
636837.9353667715,500115.17927458626,636923.9861793637,500429.57540575345,325.9596135116509
636836.9828411373,500120.71187499556,636929.2473673073,500287.1438923975,190.2954524045687
636833.9698315337,500126.910544342,636932.3121645227,500273.5541355594,176.56601400850755
636830.2276602566,500134.5207461459,636801.8220946387,500403.63694963953,270.61117334819204
636821.6468890395,500142.0060880317,636959.4467582274,500381.8554190138,276.61617002766343
636812.7372978658,500147.1074712926,636692.9084127061,500886.9061499614,749.4404890841654
636804.3464371553,500151.2240692373,636829.737592295,500501.19137083145,350.8871940445021
636796.4997789663,500155.0374336911,636712.40877449,500321.5254594885,186.51959620306326
636785.0824357503,500160.8747790419,636857.9718719192,500439.6615862185,288.15786256971865
636779.6618915946,500163.67873492226,636953.4916289003,500400.1704620365,293.5048799683371
636773.4932585487,500166.62581607886,637009.1541524644,500509.7050612355,416.22040480784796
636730.8314049873,500207.94377171906,636646.3113294493,500210.7585495643,84.56693291861139
636721.0391276157,500231.7043253083,636602.1495762577,500373.2073719963,184.8183909791001
636714.7347346543,500252.54088634136,636702.0490953629,500216.66303644935,38.054507710729155
636712.8812838653,500271.13062737894,636519.540382983,500331.5950082452,202.57503623967628
636712.9072398047,500278.0653849202,636548.6944160145,500276.190224456,164.22352975118764
636730.6314536969,500305.484392192,636799.0191822117,500364.903849436,90.5955479623456
636638.9844824477,500637.9320295353,636733.5809299255,500702.10559195717,114.30981580484197
636195.9689580817,500423.18452845106,636143.787572799,500428.0798279097,52.41050397398589
636200.461902925,500427.5747144205,636186.1308102973,500537.41073589225,110.7670159779123
636204.8855999756,500438.13782031805,636138.4293939228,500286.1273536628,165.90240895080115
636209.1849865062,500452.65951786935,636541.3893552563,500515.1593992348,338.03250995628736
636240.7059882287,500481.775417215,636392.1230807817,500877.5398523191,423.7412229302973
636261.543785702,500499.95830062416,636355.2902224422,500578.98404645117,122.61102277125151
636273.3559436456,500509.9073599026,636170.83823725,500495.06385003065,103.58672651421467
636288.5580566474,500522.32527220086,636364.485408844,500499.3331257021,79.3322230382916
636309.0522390092,500563.2281969134,636245.9037852469,500676.2334486541,129.45236241010545
636324.65282157,500574.5719611912,636152.6781390214,500651.2246965276,188.2841822147185
636332.3676765129,500578.1137953965,636269.2043085829,500619.9776855175,75.77728118850109
636333.6440883549,500587.037802972,636124.3531588784,500638.43836724915,215.51035049190665
636338.5799729086,500607.6629846856,636166.5526486884,500618.65079466277,172.37787632536788
636337.24966018,500613.8598641345,636331.6363159815,500519.14193420217,94.8841181850745
636334.6616488525,500626.6178284668,636322.3137041603,500761.2822100537,135.22931415304066
636335.6555791907,500640.1848752268,636359.9470838384,500554.65427158604,88.91322374767356
636333.0804838513,500660.3843299971,636252.3782825422,500709.3171836754,94.37833154503936
636330.8399193352,500677.6359792993,636429.2001542742,500576.9453121437,140.75988870946784
636330.4641233833,500681.3637336017,636343.5995240695,500683.74454300164,13.349419634776059
636334.4449834961,500683.4619884151,636212.7121014472,500843.3348524068,200.9433432907187
636336.2923357532,500690.0465754593,636366.0337497867,500487.9412474042,204.2819505902777
636326.4139592891,500693.9794698557,636358.551762466,500712.89722149697,37.29235471508817
636322.8304040058,500701.0032996619,636428.5878999726,500823.08067360765,161.5163557743988
