time(millisecond),ModifyDate,GPSLatitude,GPSLongitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),AbsoluteAltitude,height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-06-18 20:00:17,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1024,1024,0,0,0,0,116.4,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,Setting new Return-To-Home altitude to 150m (492 ft). Data Recorder File Index is 282. Setting new Maximum Flight Altitude to 8m (26 ft)
100,2022-06-18 20:00:17,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,364,386,389,1626,-100,-97,-96,91,116.4,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,
200,2022-06-18 20:00:17,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.8,1.9,-0.2,0,0,781,591,772,1195,-37,-66,-38,26,116.2,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,
300,2022-06-18 20:00:17,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1024,1024,0,0,0,0,114.6,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,
400,2022-06-18 20:00:17,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,
500,2022-06-18 20:00:17,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,
600,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1024,1024,0,0,0,0,113.2,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,
700,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1024,1024,0,0,0,0,112.9,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,
800,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1024,1024,0,0,0,0,112.8,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,
900,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,0,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1024,1024,0,0,0,0,112.7,0,100,4.269,4.275,4.274,4.27,0,0,0,57.11,10835.882418599,0,41,Motors_Started,
1000,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,17.038,10835.882418599,0,0,0,0,0,0,111.9,1.8,-0.2,0,0,1024,1024,1040,1024,0,0,2,0,112.6,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,41,Motors_Started,
1100,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,17.038,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1063,1024,0,0,6,0,112.5,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,41,Motors_Started,
1200,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,17.038,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1093,1018,0,0,10,-1,112.5,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,41,Motors_Started,
1300,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,17.038,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1102,1019,0,0,12,-1,112.4,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,41,Motors_Started,
1400,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,17.038,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1117,1024,0,0,14,0,112.4,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,41,Motors_Started,
1500,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,17.038,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1166,1024,0,0,22,0,112.4,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,10,Assisted_Takeoff,Battery performance will significantly reduced when its temperature is below 15 degrees Celsius. Warm up the battery temperature to above 25 degree Celsius to ensure a safe flight.
1600,2022-06-18 20:00:18,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,17.038,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1240,998,0,0,33,-4,112.3,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,10,Assisted_Takeoff,
1700,2022-06-18 20:00:19,0,0,0,,,10835.882418599,0.328084,0,0,0,0,0,17.038,10835.882418599,0,0,0,0,0,0,111.9,1.9,-0.2,0,0,1024,1024,1240,1010,0,0,33,-2,112.3,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,10,Assisted_Takeoff,
1800,2022-06-18 20:00:19,0,0,0,,,10835.882418599,0.328084,0,0,0,9,0,17.038,10835.882418599,0,0,0,0,0,0,111.8,1.9,-0.2,0,0,1024,1024,1236,1022,0,0,32,0,112.3,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,10,Assisted_Takeoff,
1900,2022-06-18 20:00:19,0,0,0,,,10835.882418599,0.328084,0,0,0,9,0,17.038,10835.882418599,0,0,0,0,0,0,111.7,1.9,-0.1,0,0,1024,1024,1233,1024,0,0,32,0,112.3,0,100,4.269,4.275,4.274,4.27,0,0,1.244,57.11,10835.882418599,0,10,Assisted_Takeoff,
2000,2022-06-18 20:00:19,0,0,0,,,10835.882418599,0.328084,0,0,0,9,0,16.984,10835.882418599,0,0,0,0,0,0,111.6,1.9,-0.2,0,0,1024,1024,1237,1024,0,0,32,0,112.2,0,100,4.252,4.261,4.262,4.259,0,0,1.74,57.11,10835.882418599,0,10,Assisted_Takeoff,
2100,2022-06-18 20:00:19,0,0,0,,,10835.882418599,0.328084,0,0,0,9,0,16.984,10835.882418599,0,0,0,0,0,0,111.5,1.8,-0.1,0,0,1024,1024,1241,1024,0,0,33,0,112.2,0,100,4.252,4.261,4.262,4.259,0,0,1.74,57.11,10835.882418599,0,10,Assisted_Takeoff,
2200,2022-06-18 20:00:19,0,0,0,,,10835.882418599,0.328084,0,0,0,9,0,16.984,10835.882418599,0,0,0,0,0,0,111.6,1.8,0,0,0,1039,1024,1233,1024,2,0,32,0,112.2,0,100,4.252,4.261,4.262,4.259,0,0,1.74,57.11,10835.882418599,0,10,Assisted_Takeoff,
