time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-06-18 13:16:43,4.52534336436953,-73.7734255062265,0,Available with any HD 360 subscription,Available with any HD 360 subscription,10834.583218754,0.328084,0,0,0,9,4,0,10834.583218754,0,0,0,0,0,0,73.9, -5.6, -4.1,0,0,1024,1024,1024,1024,0,0,0,0,72.7,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
100,2022-06-18 13:16:43,4.52534341762843,-73.7734254753705,0,,,10834.583218754,0.328084,0,0.0224395020304,0.0224395020304,9,4,0,10834.583218754,0,0,0.0224395020304,0,0,0,73.5, -5.7, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,73,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
200,2022-06-18 13:16:43,4.52534326169841,-73.7734253916549,0,,,10834.583218754,0.328084,0,0.056032810192,0.086966210132,9,4,0,10834.583218754,0,0,0.056032810192,0,0,0,71.5, -6.2, -2.3,0,0,428,783,364,1670,-90,-37,-100,98,72.5,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
300,2022-06-18 13:16:44,4.52534325118149,-73.7734253525381,0,,,10834.583218754,0.328084,0,0.069498361804,0.101701774908,9,4,0,10834.583218754,0,0,0.069498361804,0,0,0,69.4, -6.1, -0.8,0,0,1000,1024,544,1553,-4,0,-73,80,70.8,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
400,2022-06-18 13:16:44,4.52534297624682,-73.7734256242951,0,,,10834.583218754,0.328084,0,0.147974414184,0.242526582564,9,4,0,10834.583218754,0,0,0.147974414184,0,0,0,70, -6.8, -0.2,0,0,1024,1024,749,1421,0,0,-42,60,70,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
500,2022-06-18 13:16:44,4.52534290858202,-73.7734256504109,0,,,10834.583218754,0.328084,0,0.17436680348,0.268978355064,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,69.7, -6.7, 0,0,0,1024,1024,1024,1220,0,0,0,30,69.9,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
600,2022-06-18 13:16:44,4.52534315764394,-73.7734255653467,0,,,10834.583218754,0.328084,0,0.078428808284,0.36497048412,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,69.5, -7.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,69.8,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
700,2022-06-18 13:16:44,4.52534317731585,-73.7734256020982,0,,,10834.583218754,0.328084,0,0.076638453896,0.38014436912,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,70.6, -7.7, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,69.9,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
800,2022-06-18 13:16:44,4.52534292211032,-73.7734255434225,0,,,10834.583218754,0.328084,0,0.16192421778,0.47566930656,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,71.8, -7.5, -1.8,0,0,1024,1024,1024,1024,0,0,0,0,70.4,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
900,2022-06-18 13:16:44,4.52534291598811,-73.7734255779977,0,,,10834.583218754,0.328084,0,0.165661422624,0.48844161668,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,72, -7.6, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,71,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
