TagId,Time.local,NodeId,TagRSSI
5552664C,2022-06-18T11:20:36Z,379611,-107
5552664C,2022-06-18T11:20:36Z,379611,-107
5552664C,2022-06-18T11:20:42Z,379611,-108
5552664C,2022-06-18T11:20:42Z,379611,-108
5552664C,2022-06-18T11:20:37Z,3288000000,-101
5552664C,2022-06-18T11:20:37Z,3288000000,-101
5552664C,2022-06-18T11:20:42Z,3288000000,-101
5552664C,2022-06-18T11:20:42Z,3288000000,-101
5552664C,2022-06-18T11:20:47Z,3288000000,-101
5552664C,2022-06-18T11:20:47Z,3288000000,-101
5552664C,2022-06-18T11:20:52Z,3288000000,-101
5552664C,2022-06-18T11:20:52Z,3288000000,-101
5552664C,2022-06-18T11:20:58Z,3288000000,-101
5552664C,2022-06-18T11:20:58Z,3288000000,-101
5552664C,2022-06-18T11:21:03Z,3288000000,-101
5552664C,2022-06-18T11:21:03Z,3288000000,-101
5552664C,2022-06-18T11:21:08Z,3288000000,-101
5552664C,2022-06-18T11:21:08Z,3288000000,-101
5552664C,2022-06-18T11:21:13Z,3288000000,-100
5552664C,2022-06-18T11:21:13Z,3288000000,-100
5552664C,2022-06-18T11:21:18Z,3288000000,-100
5552664C,2022-06-18T11:21:18Z,3288000000,-100
5552664C,2022-06-18T11:21:24Z,3288000000,-100
5552664C,2022-06-18T11:21:24Z,3288000000,-100
5552664C,2022-06-18T11:21:29Z,3288000000,-101
5552664C,2022-06-18T11:21:29Z,3288000000,-101
5552664C,2022-06-18T11:21:34Z,3288000000,-101
5552664C,2022-06-18T11:21:34Z,3288000000,-101
5552664C,2022-06-18T11:21:39Z,3288000000,-101
5552664C,2022-06-18T11:21:39Z,3288000000,-101
5552664C,2022-06-18T11:21:44Z,3288000000,-102
5552664C,2022-06-18T11:21:44Z,3288000000,-102
5552664C,2022-06-18T11:21:50Z,3288000000,-100
5552664C,2022-06-18T11:21:50Z,3288000000,-100
5552664C,2022-06-18T11:21:55Z,3288000000,-100
5552664C,2022-06-18T11:21:55Z,3288000000,-100
5552664C,2022-06-18T11:22:00Z,3288000000,-101
5552664C,2022-06-18T11:22:00Z,3288000000,-101
5552664C,2022-06-18T11:22:05Z,3288000000,-101
5552664C,2022-06-18T11:22:05Z,3288000000,-101
5552664C,2022-06-18T11:22:10Z,3288000000,-102
5552664C,2022-06-18T11:22:10Z,3288000000,-102
5552664C,2022-06-18T11:22:16Z,3288000000,-100
5552664C,2022-06-18T11:22:16Z,3288000000,-100
5552664C,2022-06-18T11:20:38Z,328b9b,-84
5552664C,2022-06-18T11:20:38Z,328b9b,-84
5552664C,2022-06-18T11:20:43Z,328b9b,-93
5552664C,2022-06-18T11:20:43Z,328b9b,-93
5552664C,2022-06-18T11:20:48Z,328b9b,-79
5552664C,2022-06-18T11:20:48Z,328b9b,-79
5552664C,2022-06-18T11:20:53Z,328b9b,-80
5552664C,2022-06-18T11:20:53Z,328b9b,-80
5552664C,2022-06-18T11:20:59Z,328b9b,-85
5552664C,2022-06-18T11:21:04Z,328b9b,-95
5552664C,2022-06-18T11:21:04Z,328b9b,-95
5552664C,2022-06-18T11:21:09Z,328b9b,-86
5552664C,2022-06-18T11:21:09Z,328b9b,-86
5552664C,2022-06-18T11:21:14Z,328b9b,-85
5552664C,2022-06-18T11:21:14Z,328b9b,-85
5552664C,2022-06-18T11:21:19Z,328b9b,-84
5552664C,2022-06-18T11:21:19Z,328b9b,-84
5552664C,2022-06-18T11:21:25Z,328b9b,-81
5552664C,2022-06-18T11:21:25Z,328b9b,-81
5552664C,2022-06-18T11:21:30Z,328b9b,-82
5552664C,2022-06-18T11:21:30Z,328b9b,-82
5552664C,2022-06-18T11:21:35Z,328b9b,-84
5552664C,2022-06-18T11:21:35Z,328b9b,-84
5552664C,2022-06-18T11:21:40Z,328b9b,-84
5552664C,2022-06-18T11:21:40Z,328b9b,-84
5552664C,2022-06-18T11:21:45Z,328b9b,-86
5552664C,2022-06-18T11:21:45Z,328b9b,-86
5552664C,2022-06-18T11:21:51Z,328b9b,-86
5552664C,2022-06-18T11:21:51Z,328b9b,-86
5552664C,2022-06-18T11:21:56Z,328b9b,-79
5552664C,2022-06-18T11:21:56Z,328b9b,-79
5552664C,2022-06-18T11:22:01Z,328b9b,-77
5552664C,2022-06-18T11:22:01Z,328b9b,-77
5552664C,2022-06-18T11:22:06Z,328b9b,-84
5552664C,2022-06-18T11:22:06Z,328b9b,-84
5552664C,2022-06-18T11:22:11Z,328b9b,-90
5552664C,2022-06-18T11:22:11Z,328b9b,-90
5552664C,2022-06-18T11:22:17Z,328b9b,-90
5552664C,2022-06-18T11:22:17Z,328b9b,-90
5552664C,2022-06-18T11:22:22Z,328b9b,-83
5552664C,2022-06-18T11:22:22Z,328b9b,-83
5552664C,2022-06-18T11:22:32Z,328b9b,-80
5552664C,2022-06-18T11:22:32Z,328b9b,-80
5552664C,2022-06-18T11:23:55Z,328840,-108
5552664C,2022-06-18T11:23:44Z,377905,-108
5552664C,2022-06-18T11:23:49Z,377905,-109
5552664C,2022-06-18T11:23:59Z,377905,-107
5552664C,2022-06-18T11:24:05Z,377905,-109
5552664C,2022-06-18T11:24:10Z,377905,-112
5552664C,2022-06-18T11:23:13Z,3275dd,-112
5552664C,2022-06-18T11:23:13Z,3275dd,-112
5552664C,2022-06-18T11:23:49Z,3275dd,-112
5552664C,2022-06-18T11:23:49Z,3275dd,-112
5552664C,2022-06-18T11:23:54Z,37774c,-110
5552664C,2022-06-18T11:23:54Z,37774c,-110
5552664C,2022-06-18T11:21:34Z,379611,-111
5552664C,2022-06-18T11:21:34Z,379611,-111
5552664C,2022-06-18T11:21:44Z,379611,-110
5552664C,2022-06-18T11:21:44Z,379611,-110
5552664C,2022-06-18T11:21:49Z,379611,-109
5552664C,2022-06-18T11:21:49Z,379611,-109
5552664C,2022-06-18T11:21:54Z,379611,-111
5552664C,2022-06-18T11:21:54Z,379611,-111
5552664C,2022-06-18T11:22:41Z,379611,-109
5552664C,2022-06-18T11:22:41Z,379611,-109
5552664C,2022-06-18T11:22:52Z,379611,-107
5552664C,2022-06-18T11:22:52Z,379611,-107
5552664C,2022-06-18T11:22:57Z,379611,-106
5552664C,2022-06-18T11:22:57Z,379611,-106
