ModifyDate,AbsoluteAltitude,GPSLatitude,GPSLongitude
2022:06:18 08:41:26,+3328.86,4.52530466666667,-73.7732118055556
2022:06:18 08:41:33,+3328.57,4.52528177777778,-73.773136
2022:06:18 08:41:43,+3317.28,4.52521502777778,-73.7728830277778
2022:06:18 08:42:01,+3289.71,4.52515516666667,-73.7723908611111
2022:06:18 08:42:04,+3289.47,4.52515586111111,-73.7723957777778
2022:06:18 08:42:27,+3277.08,4.52510813888889,-73.7717543055556
2022:06:18 08:42:43,+3270.22,4.52508675,-73.7713696388889
2022:06:18 08:43:03,+3257.36,4.52506408333333,-73.7706096111111
2022:06:18 08:43:24,+3253.59,4.52506725,-73.7701123888889
2022:06:18 08:43:44,+3253.21,4.52507233333333,-73.7697979722222
2022:06:18 08:44:00,+3248.19,4.52507802777778,-73.7694290277778
2022:06:18 08:44:20,+3229.95,4.52510119444444,-73.7688258055556
2022:06:18 08:44:37,+3236.08,4.52518947222222,-73.7683422777778
2022:06:18 08:44:59,+3228.76,4.52577441666667,-73.7686065555556
2022:06:18 08:45:19,+3221.86,4.52634630555556,-73.7688534166667
2022:06:18 08:45:37,+3225.76,4.52663219444444,-73.76886875
2022:06:18 08:45:52,+3234.24,4.52675180555556,-73.7688665833333
2022:06:18 08:46:20,+3224.14,4.52740252777778,-73.7688483055556
2022:06:18 08:46:38,+3232.92,4.52798563888889,-73.7689934166667
2022:06:18 08:47:02,+3217.63,4.52859625,-73.7692401111111
2022:06:18 08:47:14,+3215.86,4.52896513888889,-73.7694199166667
2022:06:18 08:47:23,+3216.20,4.52919897222222,-73.7695202777778
2022:06:18 08:47:28,+3216.06,4.52922286111111,-73.7695262222222
2022:06:18 08:47:43,+3216.71,4.52916891666667,-73.7696875833333
2022:06:18 08:47:54,+3216.89,4.52910366666667,-73.770011
2022:06:18 08:48:06,+3221.85,4.52902,-73.7704341666667
2022:06:18 08:48:16,+3231.26,4.52895866666667,-73.7707721111111
2022:06:18 08:48:23,+3240.29,4.52894025,-73.7710237777778
2022:06:18 08:48:39,+3245.77,4.52879225,-73.7712256666667
2022:06:18 08:48:58,+3255.05,4.52812452777778,-73.7719715833333
2022:06:18 08:49:16,+3258.23,4.52792427777778,-73.7724710277778
2022:06:18 08:49:44,+3298.43,4.52737825,-73.7732486944444
2022:06:18 08:50:17,+3293.80,4.52628844444444,-73.7726683611111
2022:06:18 08:50:34,+3286.87,4.52589625,-73.772512
2022:06:18 08:50:45,+3286.08,4.52572433333333,-73.7723936944444
2022:06:18 08:50:56,+3278.28,4.52559266666667,-73.7721530555555
2022:06:18 08:51:09,+3276.06,4.52558947222222,-73.7718595555556
2022:06:18 08:51:19,+3271.70,4.52567525,-73.7715020833333
2022:06:18 08:51:33,+3258.91,4.52604502777778,-73.7711112777778
2022:06:18 08:51:42,+3258.50,4.52617886111111,-73.7710248611111
2022:06:18 08:51:53,+3259.17,4.52625691666667,-73.7708947222222
2022:06:18 08:52:07,+3256.84,4.52628425,-73.7707274722222
2022:06:18 08:52:19,+3262.60,4.52639027777778,-73.7707156388889
2022:06:18 08:52:31,+3270.46,4.52667183333333,-73.7709490833333
2022:06:18 08:52:44,+3272.67,4.52687041666667,-73.7708412222222
2022:06:18 08:52:57,+3269.14,4.52700577777778,-73.7705030277778
2022:06:18 08:53:11,+3256.42,4.52679438888889,-73.7702187777778
2022:06:18 08:53:31,+3235.47,4.52672816666667,-73.7694492222222
2022:06:18 08:53:46,+3238.78,4.5268085,-73.7691861666667
2022:06:18 08:54:03,+3229.10,4.52619391666667,-73.7688691111111
2022:06:18 08:54:17,+3229.30,4.52578733333333,-73.7692265833333
2022:06:18 08:54:31,+3229.38,4.525833,-73.7695093333333
2022:06:18 08:54:43,+3235.91,4.52608444444444,-73.7699014444444
2022:06:18 08:54:54,+3237.55,4.52646572222222,-73.7698575277778
2022:06:18 08:55:05,+3245.12,4.52679902777778,-73.7698186111111
2022:06:18 08:55:24,+3255.05,4.52725886111111,-73.7697663888889
2022:06:18 08:55:51,+3219.48,4.52836138888889,-73.7698928333333
2022:06:18 08:56:10,+3221.62,4.52836966666667,-73.7701897222222
2022:06:18 08:56:20,+3223.94,4.52829222222222,-73.7704566944444
2022:06:18 08:56:33,+3229.97,4.52793202777778,-73.7707718333333
2022:06:18 08:56:45,+3240.07,4.52762513888889,-73.7711254444445
2022:06:18 08:56:56,+3256.19,4.52726694444444,-73.7712830833333
2022:06:18 08:57:11,+3273.86,4.52689236111111,-73.7713828611111
2022:06:18 08:57:21,+3280.23,4.52668680555556,-73.7716149722222
2022:06:18 08:57:36,+3280.15,4.52637255555556,-73.77195625
2022:06:18 08:57:50,+3284.49,4.52615519444444,-73.7723919722222
2022:06:18 08:57:59,+3290.88,4.52601144444444,-73.7725481666667
2022:06:18 08:58:08,+3303.59,4.52579875,-73.7728167222222
2022:06:18 08:58:27,+3322.01,4.52561191666667,-73.7730902222222
2022:06:18 08:58:36,+3324.14,4.52550772222222,-73.7731035277778
2022:06:18 08:58:44,+3327.25,4.52531961111111,-73.773132
2022:06:18 08:59:00,+3327.17,4.52528744444444,-73.7731681111111
