ModifyDate,AbsoluteAltitude,GPSLatitude,GPSLongitude
2022:06:18 10:41:47,+3344.34,4.52537891666667,-73.7732831666667
2022:06:18 10:41:58,+3341.04,4.52534358333333,-73.77322075
2022:06:18 10:42:31,+3328.44,4.52502408333333,-73.77288875
2022:06:18 10:42:47,+3313.44,4.52476052777778,-73.7724277222222
2022:06:18 10:43:00,+3305.84,4.52446644444444,-73.7719324166667
2022:06:18 10:43:20,+3305.24,4.52427355555556,-73.7715738333333
2022:06:18 10:43:37,+3294.04,4.52381705555556,-73.7708493611111
2022:06:18 10:43:50,+3286.14,4.52369852777778,-73.7703628888889
2022:06:18 10:44:04,+3272.54,4.52380519444444,-73.7696465833333
2022:06:18 10:44:24,+3247.44,4.52430291666667,-73.7685562222222
2022:06:18 10:44:38,+3244.34,4.52502269444444,-73.7683448055556
2022:06:18 10:44:56,+3236.94,4.52524447222222,-73.7676223611111
2022:06:18 10:45:11,+3234.84,4.52551655555556,-73.76775875
2022:06:18 10:45:30,+3237.74,4.52595744444444,-73.7683212777778
2022:06:18 10:45:42,+3235.54,4.52613638888889,-73.7687815277778
2022:06:18 10:45:51,+3232.54,4.52635166666667,-73.7687856111111
2022:06:18 10:46:00,+3234.64,4.52615794444444,-73.7690456111111
2022:06:18 10:46:09,+3237.54,4.52607761111111,-73.7693443333333
2022:06:18 10:46:19,+3241.54,4.52616777777778,-73.7696295
2022:06:18 10:46:36,+3247.54,4.52651538888889,-73.7697718888889
2022:06:18 10:46:45,+3248.24,4.52673138888889,-73.7696841388889
2022:06:18 10:47:05,+3265.44,4.52700772222222,-73.7699808611111
2022:06:18 10:47:22,+3271.04,4.52712172222222,-73.7701236944445
2022:06:18 10:47:34,+3267.34,4.52683091666667,-73.7702554444444
2022:06:18 10:47:47,+3258.64,4.52648033333333,-73.7703453888889
2022:06:18 10:47:59,+3265.54,4.52639369444444,-73.7705461388889
2022:06:18 10:48:17,+3249.64,4.52576988888889,-73.7701378611111
2022:06:18 10:48:29,+3246.64,4.52568541666667,-73.7697566388889
2022:06:18 10:48:43,+3251.64,4.52531072222222,-73.7697994166667
2022:06:18 10:48:56,+3264.24,4.5250025,-73.7700105833333
2022:06:18 10:49:06,+3259.34,4.52512469444444,-73.7703006111111
2022:06:18 10:49:20,+3257.24,4.52537219444444,-73.7706649166667
2022:06:18 10:49:31,+3269.94,4.525664,-73.7709547222222
2022:06:18 10:49:45,+3280.14,4.52562938888889,-73.7714141111111
2022:06:18 10:49:56,+3287.94,4.52569555555556,-73.7718728333333
2022:06:18 10:50:03,+3288.54,4.52593019444444,-73.7720531944444
2022:06:18 10:50:13,+3290.14,4.52619419444444,-73.7720326388889
2022:06:18 10:50:22,+3295.64,4.52642541666667,-73.7721601944444
2022:06:18 10:50:35,+3298.34,4.52664344444444,-73.7720376944444
2022:06:18 10:50:49,+3286.54,4.52719891666667,-73.7722983611111
2022:06:18 10:51:03,+3284.94,4.52705433333333,-73.7719163333333
2022:06:18 10:51:14,+3279.14,4.52702127777778,-73.7714358333333
2022:06:18 10:51:29,+3245.34,4.52803186111111,-73.7711582222222
2022:06:18 10:51:41,+3249.84,4.52815497222222,-73.7714662777778
2022:06:18 10:51:54,+3241.84,4.52806455555556,-73.7707126111111
2022:06:18 10:52:10,+3243.14,4.52781191666667,-73.7696557222222
2022:06:18 10:52:22,+3228.74,4.52846016666667,-73.7693993333333
2022:06:18 10:52:36,+3220.24,4.52917227777778,-73.7690271666667
2022:06:18 10:52:49,+3222.04,4.52902461111111,-73.7685734166667
2022:06:18 10:53:03,+3225.34,4.52854427777778,-73.768607
2022:06:18 10:53:27,+3247.94,4.5274955,-73.7690189166667
2022:06:18 10:53:40,+3250.24,4.52691952777778,-73.7689546388889
2022:06:18 10:53:54,+3256.74,4.52713869444444,-73.7693146388889
2022:06:18 10:54:11,+3247.14,4.5268935,-73.7688193888889
2022:06:18 10:54:39,+3238.94,4.52595347222222,-73.7691673888889
2022:06:18 10:54:52,+3248.04,4.52525541666667,-73.7692611944444
2022:06:18 10:55:03,+3260.24,4.52507969444444,-73.7694299444444
2022:06:18 10:55:11,+3264.54,4.525072,-73.7696873333333
2022:06:18 10:55:22,+3279.64,4.52476963888889,-73.77023725
2022:06:18 10:55:36,+3278.84,4.52494291666667,-73.7708351666667
2022:06:18 10:55:47,+3284.04,4.52489483333333,-73.7713968888889
2022:06:18 10:56:02,+3285.44,4.52544186111111,-73.7716695
2022:06:18 10:56:17,+3310.04,4.52612258333333,-73.7725174444444
2022:06:18 10:56:27,+3328.04,4.52656663888889,-73.7731444166667
2022:06:18 10:56:36,+3350.14,4.5264305,-73.7734404444444
2022:06:18 10:56:54,+3342.64,4.52591791666667,-73.7730884722222
2022:06:18 10:57:04,+3351.54,4.52549583333333,-73.7733203611111
