TagId,Time.local,NodeId,TagRSSI
1919552D,2022-03-08T11:32:00Z,328840,-95
1919552D,2022-03-08T11:32:00Z,3775bf,-93
1919552D,2022-03-08T11:32:01Z,3288000000,-92
1919552D,2022-03-08T12:49:50Z,3775bf,-99
1919552D,2022-03-08T12:49:50Z,37774c,-94
1919552D,2022-03-08T12:50:29Z,376095,-110
1919552D,2022-03-08T12:49:50Z,37a5e9,-106
1919552D,2022-03-08T12:49:50Z,3774a7,-102
1919552D,2022-03-08T12:50:29Z,3774a7,-104
1919552D,2022-03-08T12:51:13Z,3774a7,-105
1919552D,2022-03-08T12:49:50Z,328840,-89
1919552D,2022-03-08T12:50:29Z,328840,-91
1919552D,2022-03-08T12:51:14Z,328840,-92
1919552D,2022-03-08T12:51:53Z,328840,-91
1919552D,2022-03-08T12:52:33Z,328840,-91
1919552D,2022-03-08T12:53:12Z,328840,-92
1919552D,2022-03-08T12:54:19Z,32820a,-107
1919552D,2022-03-08T12:54:44Z,32820a,-106
1919552D,2022-03-08T12:54:09Z,3290ef,-100
1919552D,2022-03-08T12:54:14Z,3290ef,-105
1919552D,2022-03-08T12:54:19Z,3290ef,-95
1919552D,2022-03-08T12:54:29Z,3290ef,-102
1919552D,2022-03-08T12:54:34Z,3290ef,-94
1919552D,2022-03-08T12:54:39Z,3290ef,-103
1919552D,2022-03-08T12:54:44Z,3290ef,-92
1919552D,2022-03-08T12:54:49Z,3290ef,-101
1919552D,2022-03-08T12:50:29Z,3775bf,-94
1919552D,2022-03-08T12:51:13Z,3775bf,-101
1919552D,2022-03-08T12:51:53Z,3775bf,-102
1919552D,2022-03-08T12:52:33Z,3775bf,-105
1919552D,2022-03-08T12:53:12Z,3775bf,-101
1919552D,2022-03-08T12:53:51Z,3775bf,-102
1919552D,2022-03-08T12:54:09Z,3775bf,-102
1919552D,2022-03-08T12:54:14Z,3775bf,-90
1919552D,2022-03-08T12:54:19Z,3775bf,-90
1919552D,2022-03-08T12:54:24Z,3775bf,-94
1919552D,2022-03-08T12:54:29Z,3775bf,-86
1919552D,2022-03-08T12:54:34Z,3775bf,-82
1919552D,2022-03-08T12:54:39Z,3775bf,-80
1919552D,2022-03-08T12:54:49Z,3775bf,-83
