TagId,TestId,Date,Start.Time,Stop.Time,Min,Hour,TestUTMx,TestUTMy,test_type,habitat_type
1919552D,t01,3/8/22,15:48,17:51,49,15,1033768.4172207668,992223.2120629121,mid_horizontal,forest
1919552D,t01,3/8/22,15:53,15:56,54,15,1033768.4172207668,992223.2120629121,high_horizontal,forest
1919552D,t01,3/8/22,15:57,16:00,58,15,1033768.4172207668,992223.2120629121,mid_vertical,forest
1919552D,t01,3/8/22,16:00,16:03,1,16,1033768.4172207668,992223.2120629121,high_vertical,forest
314E1934,t02,3/8/22,15:52,15:55,53,15,1033775.0869199706,992196.6749959124,mid_horizontal,open_paramo
314E1934,t02,3/8/22,15:55,15:58,56,15,1033775.0869199706,992196.6749959124,mid_vertical,open_paramo
314E1934,t02,3/8/22,15:58,16:01,59,15,1033775.0869199706,992196.6749959124,high_vertical,open_paramo
314E1934,t02,3/8/22,16:01,16:04,2,16,1033775.0869199706,992196.6749959124,high_horizontal,open_paramo
66523352,t03,3/8/22,15:57,16:00,58,15,1033782.8492335045,992211.0540085692,mid_horizontal,open_paramo
66523352,t03,3/8/22,16:01,16:04,2,16,1033782.8492335045,992211.0540085692,high_horizontal,open_paramo
66523352,t03,3/8/22,16:05,16:08,6,16,1033782.8492335045,992211.0540085692,mid_vertical,open_paramo
66523352,t03,3/8/22,16:09,16:12,10,16,1033782.8492335045,992211.0540085692,high_vertical,open_paramo
1919552D,t04,3/8/22,16:18,16:21,19,16,1033871.6204921713,992234.313655493,mid_horizontal,high_paramo
1919552D,t04,3/8/22,16:22,16:25,23,16,1033871.6204921713,992234.313655493,high_horizontal,high_paramo
1919552D,t04,3/8/22,16:26,16:29,27,16,1033871.6204921713,992234.313655493,mid_vertical,high_paramo
1919552D,t04,3/8/22,16:29,16:32,30,16,1033871.6204921713,992234.313655493,high_vertical,high_paramo
314E1934,t05,3/8/22,16:15,16:18,16,16,1033811.6817191164,992261.934172893,mid_horizontal,high_paramo
314E1934,t05,3/8/22,16:18,16:21,19,16,1033811.6817191164,992261.934172893,mid_vertical,high_paramo
314E1934,t05,3/8/22,16:22,16:25,23,16,1033811.6817191164,992261.934172893,high_vertical,high_paramo
314E1934,t05,3/8/22,16:25,16:28,26,16,1033811.6817191164,992261.934172893,high_horizontal,high_paramo
1919552D,t07,3/8/22,16:41,16:44,42,16,1033979.2539331395,992266.4279785494,mid_horizontal,open_paramo
1919552D,t07,3/8/22,16:45,16:48,46,16,1033979.2539331395,992266.4279785494,high_horizontal,open_paramo
1919552D,t07,3/8/22,16:49,16:52,50,16,1033979.2539331395,992266.4279785494,mid_vertical,open_paramo
1919552D,t07,3/8/22,16:53,16:56,54,16,1033979.2539331395,992266.4279785494,high_vertical,open_paramo
314E1934,t08,3/8/22,16:36,16:39,37,16,1033929.3165009054,992261.9836231533,mid_horizontal,bamboo
314E1934,t08,3/8/22,16:39,16:42,40,16,1033929.3165009054,992261.9836231533,mid_vertical,bamboo
314E1934,t08,3/8/22,16:42,16:45,43,16,1033929.3165009054,992261.9836231533,high_vertical,bamboo
314E1934,t08,3/8/22,16:45,16:48,46,16,1033929.3165009054,992261.9836231533,high_horizontal,bamboo
1919552D,t10,3/8/22,17:03,17:06,4,17,1034046.9718535522,992213.3768280249,mid_horizontal,bamboo
1919552D,t10,3/8/22,17:06,17:09,7,17,1034046.9718535522,992213.3768280249,high_horizontal,bamboo
