TagId,Time.local,NodeId,TagRSSI
5552664C,2022-11-05T13:03:19Z,376eca,-109
19522D2A,2022-11-05T13:03:14Z,37a5e9,-104
19522D2A,2022-11-05T13:03:14Z,37a5e9,-104
5552664C,2022-11-05T13:03:19Z,37a5e9,-105
5552664C,2022-11-05T13:03:19Z,37a5e9,-105
19522D2A,2022-11-05T13:03:19Z,37a5e9,-105
5552664C,2022-11-05T13:03:24Z,37a5e9,-106
5552664C,2022-11-05T13:03:24Z,37a5e9,-106
19522D2A,2022-11-05T13:03:14Z,328840,-89
19522D2A,2022-11-05T13:03:14Z,328840,-89
5552664C,2022-11-05T13:03:18Z,328840,-90
5552664C,2022-11-05T13:03:18Z,328840,-90
19522D2A,2022-11-05T13:03:19Z,328840,-93
19522D2A,2022-11-05T13:03:19Z,328840,-93
5552664C,2022-11-05T13:03:24Z,328840,-87
5552664C,2022-11-05T13:03:24Z,328840,-87
19522D2A,2022-11-05T13:03:24Z,328840,-90
19522D2A,2022-11-05T13:03:24Z,328840,-90
5552664C,2022-11-05T13:03:29Z,328840,-88
5552664C,2022-11-05T13:03:29Z,328840,-88
19522D2A,2022-11-05T13:03:29Z,328840,-90
19522D2A,2022-11-05T13:03:29Z,328840,-90
5552664C,2022-11-05T13:03:34Z,328840,-87
19522D2A,2022-11-05T13:03:35Z,328840,-91
19522D2A,2022-11-05T13:03:35Z,328840,-91
33662A55,2022-11-05T13:03:35Z,328840,-90
33662A55,2022-11-05T13:03:35Z,328840,-90
5552664C,2022-11-05T13:03:39Z,328840,-85
5552664C,2022-11-05T13:03:39Z,328840,-85
19522D2A,2022-11-05T13:03:40Z,328840,-84
19522D2A,2022-11-05T13:03:40Z,328840,-84
33662A55,2022-11-05T13:03:40Z,328840,-89
33662A55,2022-11-05T13:03:40Z,328840,-89
5552664C,2022-11-05T13:03:19Z,376f25,-107
5552664C,2022-11-05T13:03:24Z,376f25,-105
5552664C,2022-11-05T13:03:34Z,376f25,-107
5552664C,2022-11-05T13:03:45Z,376f25,-106
5552664C,2022-11-05T13:03:19Z,376e5f,-102
5552664C,2022-11-05T13:03:24Z,376e5f,-103
19522D2A,2022-11-05T13:03:30Z,376e5f,-109
5552664C,2022-11-05T13:03:34Z,376e5f,-105
5552664C,2022-11-05T13:03:40Z,376e5f,-105
5552664C,2022-11-05T13:03:45Z,376e5f,-103
5552664C,2022-11-05T13:03:50Z,376e5f,-102
19522D2A,2022-11-05T13:04:00Z,376e5f,-108
5552664C,2022-11-05T13:04:00Z,376e5f,-102
5552664C,2022-11-05T13:03:24Z,37840a,-108
5552664C,2022-11-05T13:03:39Z,37840a,-109
33662A55,2022-11-05T13:04:06Z,37840a,-104
33662A55,2022-11-05T13:04:06Z,37840a,-104
19522D2A,2022-11-05T13:03:14Z,3290ef,-104
19522D2A,2022-11-05T13:03:14Z,3290ef,-104
