ModifyDate,AbsoluteAltitude,GPSLatitude,GPSLongitude,tag_id,flight_type,pair
2022:10:04 09:48:31,3328.86,4.525080444,-73.77273286,33662A55,single,NA
2022:10:04 09:48:34,3328.67,4.525079083,-73.77272883,33662A55,single,NA
2022:10:04 09:48:41,3324.71,4.525034056,-73.77259264,33662A55,single,NA
2022:10:04 09:48:43,3323.96,4.525033722,-73.77259256,33662A55,single,NA
2022:10:04 09:48:51,3322.44,4.525008528,-73.77250744,33662A55,single,NA
2022:10:04 09:49:04,3319.38,4.524990472,-73.77244961,33662A55,single,NA
2022:10:04 09:49:22,3319.18,4.524955028,-73.77235767,33662A55,single,NA
2022:10:04 09:49:33,3319.06,4.5249635,-73.77224475,33662A55,single,NA
2022:10:04 09:49:49,3317.19,4.524889667,-73.77213483,33662A55,single,NA
2022:10:04 09:50:19,3320.04,4.524868778,-73.77199656,33662A55,single,NA
2022:10:04 09:50:20,3320.09,4.524868111,-73.77199644,33662A55,single,NA
2022:10:04 09:50:22,3320.07,4.52486725,-73.77199653,33662A55,single,NA
2022:10:04 09:50:31,3315.35,4.52500875,-73.77191225,33662A55,single,NA
2022:10:04 09:50:36,3313.62,4.525007194,-73.77191297,33662A55,single,NA
2022:10:04 09:51:01,3313.41,4.525181056,-73.77187944,33662A55,single,NA
2022:10:04 09:51:13,3299.59,4.525308944,-73.77182897,33662A55,single,NA
2022:10:04 09:51:15,3299.24,4.525308472,-73.77182806,33662A55,single,NA
2022:10:04 09:51:24,3296.03,4.525373361,-73.77180047,33662A55,single,NA
2022:10:04 09:51:30,3294.94,4.525475056,-73.77175167,33662A55,single,NA
2022:10:04 09:51:43,3291.14,4.525557583,-73.77148867,33662A55,single,NA
2022:10:04 09:51:45,3290.9,4.525558306,-73.77148989,33662A55,single,NA
2022:10:04 09:51:55,3291.19,4.525761917,-73.77128933,33662A55,single,NA
2022:10:04 09:52:01,3291.09,4.525782444,-73.77127419,33662A55,single,NA
2022:10:04 09:52:23,3288.46,4.525915833,-73.77104825,33662A55,single,NA
2022:10:04 09:52:32,3287.95,4.525911639,-73.771042,33662A55,single,NA
