,Y,X
0,-109,693.351
1,-109,693.351
2,-101,397.804
3,-101,397.804
4,-109,400.993
5,-109,400.993
6,-106,521.312
7,-106,521.312
8,-90,112.915
9,-93,268.89000000000004
10,-93,268.89000000000004
11,-105,208.553
12,-105,208.553
13,-100,258.858
14,-100,258.858
15,-84,235.72799999999998
16,-84,235.72799999999998
17,-100,129.8
18,-100,129.8
19,-108,272.95399999999995
20,-96,591.733
21,-96,591.733
22,-100,535.91
23,-100,535.91
24,-95,251.006
25,-90,462.329
26,-90,462.329
27,-105,686.061
28,-105,686.061
29,-92,228.624
30,-88,217.28300000000002
31,-101,726.7529999999999
32,-101,726.7529999999999
33,-99,506.14000000000004
34,-99,506.14000000000004
35,-98,378.344
36,-98,378.344
37,-101,357.139
38,-101,357.139
39,-99,795.31
40,-99,795.31
41,-101,542.888
42,-101,542.888
43,-109,454.443
44,-94,278.01300000000003
45,-83,141.44899999999998
46,-83,141.44899999999998
47,-89,177.842
48,-89,177.842
49,-90,234.858
50,-90,234.858
51,-99,293.734
52,-99,293.734
53,-89,131.98
54,-89,131.98
55,-109,484.186
56,-107,699.992
57,-107,699.992
58,-74,26.34
59,-86,339.068
60,-86,339.068
61,-101,237.593
62,-101,237.593
63,-101,560.471
64,-101,560.471
65,-90,323.93
66,-96,411.914
67,-95,468.628
68,-95,468.628
69,-96,550.439
70,-96,550.439
71,-108,627.129
72,-108,627.129
73,-94,150.701
74,-94,150.701
75,-102,647.303
76,-102,647.303
77,-103,432.328
78,-103,432.328
79,-104,320.256
80,-104,320.256
81,-96,348.077
82,-96,348.077
83,-107,459.67400000000004
84,-107,459.67400000000004
85,-104,582.577
86,-104,582.577
87,-96,362.836
88,-96,362.836
89,-101,297.09200000000004
90,-101,297.09200000000004
91,-92,636.2139999999999
92,-92,636.2139999999999
93,-108,201.126
94,-108,201.126
95,-104,848.288
96,-104,848.288
97,-97,145.621
98,-86,478.519
99,-86,478.519
100,-90,142.696
101,-90,142.696
102,-108,685.391
103,-108,685.391
104,-102,303.362
105,-106,446.687
106,-101,187.485
107,-99,617.8059999999999
108,-99,617.8059999999999
109,-108,786.87
110,-108,786.87
111,-99,367.67699999999996
112,-85,193.851
113,-85,193.851
114,-103,753.6659999999999
115,-103,753.6659999999999
116,-97,596.598
117,-97,596.598
118,-82,157.655
119,-82,157.655
120,-91,428.767
121,-91,428.767
122,-90,470.592
123,-90,470.592
124,-98,484.242
125,-108,447.135
126,-105,743.9689999999999
127,-105,743.9689999999999
128,-98,416.154
129,-98,416.154
130,-85,235.59199999999998
131,-85,235.59199999999998
132,-89,319.77299999999997
133,-89,319.77299999999997
134,-104,322.961
135,-90,302.031
136,-90,302.031
137,-68,26.599999999999998
138,-68,26.599999999999998
139,-88,165.639
140,-88,165.639
141,-110,394.984
142,-110,394.984
143,-80,390.98
144,-80,390.98
145,-94,575.885
146,-94,575.885
147,-90,288.889
148,-96,718.92
149,-96,718.92
150,-94,918.805
151,-94,918.805
152,-90,531.949
153,-90,531.949
154,-97,784.1519999999999
155,-97,784.1519999999999
156,-102,316.622
157,-95,415.582
158,-95,415.582
159,-99,692.3679999999999
160,-99,692.3679999999999
161,-93,625.4530000000001
162,-93,625.4530000000001
163,-94,640.1850000000001
164,-94,640.1850000000001
165,-87,179.617
166,-87,179.617
167,-93,269.947
168,-93,269.947
169,-82,235.2
170,-82,235.2
171,-109,568.7959999999999
172,-95,829.4780000000001
173,-95,829.4780000000001
174,-92,541.446
175,-92,541.446
176,-88,299.55199999999996
177,-88,299.55199999999996
178,-104,475.151
179,-104,475.151
180,-108,190.133
181,-108,190.133
182,-93,855.029
183,-93,855.029
184,-105,864.7
185,-105,864.7
186,-86,178.763
187,-86,178.763
188,-79,391.683
189,-79,391.683
190,-96,575.951
191,-96,575.951
192,-96,719.485
193,-96,719.485
194,-90,533.0859999999999
195,-90,533.0859999999999
196,-94,787.233
197,-94,787.233
198,-102,319.69399999999996
199,-107,735.265
200,-91,418.54200000000003
201,-91,418.54200000000003
202,-96,728.285
203,-96,728.285
204,-96,643.4490000000001
205,-96,643.4490000000001
206,-83,237.209
207,-83,237.209
208,-95,830.954
209,-95,830.954
210,-91,543.537
211,-91,543.537
212,-103,478.36
213,-103,478.36
214,-100,193.959
215,-100,193.959
216,-93,855.821
217,-105,867.2429999999999
218,-105,867.2429999999999
219,-95,292.283
220,-96,921.723
221,-96,921.723
222,-102,332.237
223,-102,332.237
224,-102,694.3249999999999
225,-102,694.3249999999999
226,-97,628.733
227,-97,628.733
228,-90,177.538
229,-90,177.538
230,-102,269.912
231,-102,269.912
232,-108,571.568
233,-86,689.703
234,-86,689.703
235,-88,296.871
236,-88,296.871
237,-95,358.124
238,-95,358.124
239,-87,181.39
240,-87,181.39
241,-87,534.6149999999999
242,-87,534.6149999999999
243,-91,833.025
244,-91,833.025
245,-80,392.521
246,-80,392.521
247,-94,575.724
248,-94,575.724
249,-92,297.644
250,-93,720.062
251,-93,720.062
252,-98,926.2289999999999
253,-98,926.2289999999999
254,-92,792.024
255,-92,792.024
256,-103,338.42
257,-103,338.42
258,-101,324.947
259,-108,740.8979999999999
260,-95,423.13800000000003
261,-95,423.13800000000003
262,-96,732.34
263,-96,732.34
264,-100,697.2040000000001
265,-100,697.2040000000001
266,-93,634.273
267,-95,648.563
268,-95,648.563
269,-85,173.953
270,-85,173.953
271,-87,269.581
272,-87,269.581
273,-77,96.079
274,-77,96.079
275,-85,691.6139999999999
276,-85,691.6139999999999
277,-90,546.652
278,-90,546.652
279,-89,292.286
280,-89,292.286
281,-102,483.801
282,-102,483.801
283,-107,200.17499999999998
284,-107,200.17499999999998
285,-94,856.763
286,-94,856.763
287,-106,871.107
288,-106,871.107
289,-90,186.01999999999998
290,-90,186.01999999999998
291,-92,575.4399999999999
292,-92,575.4399999999999
293,-92,302.219
294,-92,720.46
295,-92,720.46
296,-92,930.03
297,-92,930.03
298,-87,535.851
299,-87,535.851
300,-93,796.078
301,-93,796.078
302,-106,343.765
303,-106,343.765
304,-106,329.575
305,-106,329.575
306,-104,745.699
307,-86,427.037
308,-86,427.037
309,-96,735.7510000000001
310,-96,735.7510000000001
311,-99,699.5949999999999
312,-99,699.5949999999999
313,-96,639.12
314,-96,639.12
315,-90,652.905
316,-90,652.905
317,-90,170.867
318,-90,170.867
319,-86,269.27
320,-86,269.27
321,-83,242.833
322,-83,242.833
323,-106,579.434
324,-78,99.328
325,-94,834.7090000000001
326,-94,834.7090000000001
327,-89,549.255
328,-89,549.255
329,-90,288.288
330,-90,288.288
331,-106,488.572
332,-106,488.572
333,-96,205.52300000000002
334,-96,205.52300000000002
335,-93,857.4699999999999
336,-93,857.4699999999999
337,-104,874.346
338,-104,874.346
339,-92,190.175
340,-92,190.175
341,-77,304.65700000000004
342,-92,720.484
343,-92,720.484
344,-91,931.9929999999999
345,-91,931.9929999999999
346,-87,536.3489999999999
347,-87,536.3489999999999
348,-87,798.192
349,-87,798.192
350,-88,346.748
351,-88,346.748
352,-98,748.268
353,-81,429.06600000000003
354,-90,737.487
355,-90,737.487
356,-97,700.743
357,-97,700.743
358,-103,641.903
359,-103,641.903
360,-87,655.193
361,-87,655.193
362,-91,169.026
363,-91,169.026
364,-90,268.928
365,-90,268.928
366,-71,101.042
367,-71,101.042
368,-91,835.453
369,-85,550.529
370,-85,550.529
371,-93,285.945
372,-93,285.945
373,-100,351.928
374,-100,351.928
375,-106,491.32
376,-106,491.32
377,-89,208.471
378,-89,208.471
379,-95,857.6629999999999
380,-95,857.6629999999999
381,-98,875.981
382,-98,875.981
383,-81,393.365
384,-81,393.365
385,-95,575.09
386,-95,575.09
387,-86,305.702
388,-92,717.2819999999999
389,-92,717.2819999999999
390,-90,931.877
391,-90,931.877
392,-87,533.7610000000001
393,-87,533.7610000000001
394,-88,798.411
395,-88,798.411
396,-91,350.331
397,-91,350.331
398,-100,749.662
399,-84,429.113
400,-84,429.113
401,-90,736.913
402,-90,736.913
403,-96,699.121
404,-96,699.121
405,-105,646.351
406,-85,655.828
407,-85,655.828
408,-94,164.311
409,-94,164.311
410,-87,265.337
411,-87,265.337
412,-81,242.78
413,-81,242.78
414,-102,580.944
415,-94,848.622
416,-90,833.202
417,-86,549.123
418,-86,549.123
419,-99,347.41499999999996
420,-99,347.41499999999996
421,-93,211.481
422,-93,211.481
423,-108,1005.479
424,-93,854.665
425,-93,854.665
426,-99,875.2090000000001
427,-99,875.2090000000001
428,-78,390.37300000000005
429,-78,390.37300000000005
430,-96,571.47
431,-96,571.47
432,-106,197.367
433,-106,197.367
434,-84,691.4879999999999
435,-94,713.558
436,-94,713.558
437,-89,530.806
438,-89,530.806
439,-99,751.509
440,-92,429.38
441,-92,429.38
442,-94,736.403
443,-94,736.403
444,-86,656.775
445,-86,656.775
446,-80,241.416
447,-80,241.416
448,-93,849.975
449,-96,830.647
450,-96,830.647
451,-86,547.616
452,-86,547.616
453,-106,852.361
454,-109,501.28499999999997
455,-109,501.28499999999997
456,-95,215.291
457,-95,215.291
458,-94,851.19
459,-94,851.19
460,-78,386.932
461,-78,386.932
462,-88,931.909
463,-88,931.909
464,-87,798.852
465,-87,798.852
466,-90,354.769
467,-90,354.769
468,-94,697.3399999999999
469,-94,697.3399999999999
470,-103,651.7570000000001
471,-103,651.7570000000001
472,-88,158.67000000000002
473,-88,158.67000000000002
474,-86,261.161
475,-86,261.161
476,-98,580.726
477,-85,688.816
478,-97,275.43
479,-97,275.43
480,-101,874.451
481,-101,874.451
482,-94,567.23
483,-94,567.23
484,-93,708.899
485,-93,708.899
486,-88,931.8499999999999
487,-88,931.8499999999999
488,-85,527.106
489,-85,527.106
490,-89,799.3019999999999
491,-89,799.3019999999999
