Own_NodeId,NodeId,Latitude,Longitude
N01,3288000000,4.525,-73.77278
N02,3775bf,4.52633,-73.77245
N03,37a5e9,4.52773,-73.77207
N04,3290ef,4.529,-73.77177
N05,328840,4.52467,-73.77147
N06,37774c,4.52603,-73.77114
N07,376095,4.52733,-73.77081
N08,37a200,4.52861,-73.7705
N09,377905,4.52433,-73.77016
N10,3774a7,4.52567,-73.76984
N11,3275dd,4.52694,-73.7695
N12,377bc2,4.52825,-73.7692
N13,32820a,4.52397,-73.76886
N14,379611,4.52531,-73.76855
N15,328b9b,4.52661,-73.76825
N16,37917d,4.52789,-73.76794
N17,376e5f,4.52354,-73.76755
N18,3783b7,4.52472,-73.76727
N19,377483,4.52601,-73.76694
N20,376141,4.5273,-73.76665
N21,37a807,4.52844,-73.7663
N22,37a7f9,4.52976,-73.76605
N23,37a447,4.53119,-73.7657
N24,375f15,4.52305,-73.7663
N25,376f25,4.52434,-73.76624
N26,37a114,4.52547,-73.76564
N27,3762cf,4.52671,-73.76534
N28,376ced,4.52816,-73.76495
N29,377147,4.52919,-73.76471
N30,37714f,4.53056,-73.76434
N31,377256,4.52258,-73.76505
N32,376eca,4.52367,-73.76482
N33,37840a,4.52507,-73.76438
N34,37ab20,4.52628,-73.76413
N35,378579,4.52753,-73.7638
N36,377ae4,4.52875,-73.7635
N37,3769cc,4.53014,-73.76311
N38,3798b0,4.52902,-73.76759
N39,3785ce,4.53032,-73.76729
N40,375d74,4.53164,-73.767
N41,37930f,4.52955,-73.76883
N42,37a144,4.53079,-73.76843
N43,377747,4.53203,-73.76807
N44,378a6d,4.52995,-73.77008
N45,375f25,4.53143,-73.76965
N46,37ab1a,4.53253,-73.76928
I47,imaginary1,4.53027,-73.77147
I48,imaginary2,4.53154,-73.77117
I49,imaginary3,4.53281,-73.77087
